	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
118	0.580036	0.580036	0.580036	0.580036	0.580036	0.580036	0.580036	0.580036	0.580036	0.580036	0.580036	0.580036	0.4296387	0.580036	0.5909384	0.580036	0.580036	0.580036	0.5909384	0.580036	0.580036	0.580036	0.580036	0.5909384	0.580036	0.580036	0.580036	0.580036	0.580036	0.580036	0.580036	0.580036	0.5800363	0.5800363	0.5800363	0.5800363	0.5800363	0.5800363	0.5800363	0.5800363	0.5800363	0.5800363	0.5909386	0.5800363	0.59093845	0.5800359	0.5800359
40	0.1389124	0.1389124	0.1389124	0.1389124	0.1389124	0.1389124	0.1389124	0.1389124	0.1389124	0.1389124	0.1389124	0.1389124	0.2500151	0.1389124	0.1280685	0.1389124	0.1389124	0.1389124	0.1280685	0.1389124	0.1389124	0.1389124	0.1389124	0.1280685	0.1389124	0.1389124	0.1389124	0.1389124	0.1389124	0.1389124	0.13891245	0.13891245	0.13891236	0.13891236	0.13891236	0.13891236	0.13891236	0.13891236	0.13891236	0.13891236	0.13891236	0.13891236	0.12806831	0.13891236	0.12806846	0.13891241	0.13891241
265	0.01116553	0.01116553	0.01116553	0.01116553	0.01116553	0.01116553	0.01116553	0.01116553	0.01116553	0.01116553	0.01116553	0.01116553	0.012447662	0.01116553	0.011692437	0.01116553	0.01116553	0.01116553	0.011692437	0.01116553	0.01116553	0.01116553	0.01116553	0.011692437	0.01116553	0.01116553	0.01116553	0.01116553	0.01116553	0.01116553	0.011165536	0.011165536	0.011165526	0.011165526	0.011165526	0.011165526	0.011165526	0.011165526	0.011165526	0.011165526	0.011165526	0.011165526	0.011692436	0.011165526	0.011692433	0.011165535	0.011165535
564	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.035100203	0.045504063	0.044928383	0.045504063	0.045504063	0.045504063	0.044928383	0.045504063	0.045504063	0.045504063	0.045504063	0.044928383	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.045504063	0.04492839	0.045504063	0.044928364	0.045504056	0.045504056
69	0.11308058	0.11308058	0.11308058	0.11308058	0.11308058	0.11308058	0.11308058	0.11308058	0.11308058	0.11308058	0.11308058	0.11308058	0.13126798	0.11308058	0.115437694	0.11308058	0.11308058	0.11308058	0.115437694	0.11308058	0.11308058	0.11308058	0.11308058	0.115437694	0.11308058	0.11308058	0.11308058	0.11308058	0.11308058	0.11308058	0.113080546	0.113080546	0.11308048	0.11308048	0.11308048	0.11308048	0.11308048	0.11308048	0.11308048	0.11308048	0.11308048	0.11308048	0.11543766	0.11308048	0.11543766	0.1130806	0.1130806
41	0.054575615	0.054575615	0.054575615	0.054575615	0.054575615	0.054575615	0.054575615	0.054575615	0.054575615	0.054575615	0.054575615	0.054575615	0.061132465	0.054575615	0.05441653	0.054575615	0.054575615	0.054575615	0.05441653	0.054575615	0.054575615	0.054575615	0.054575615	0.05441653	0.054575615	0.054575615	0.054575615	0.054575615	0.054575615	0.054575615	0.05457564	0.05457564	0.054575603	0.054575603	0.054575603	0.054575603	0.054575603	0.054575603	0.054575603	0.054575603	0.054575603	0.054575603	0.054416534	0.054575603	0.054416515	0.054575622	0.054575622
980	0.005699438	0.005699438	0.005699438	0.005699438	0.005699438	0.005699438	0.005699438	0.005699438	0.005699438	0.005699438	0.005699438	0.005699438	0.011074363	0.005699438	0.0050308355	0.005699438	0.005699438	0.005699438	0.0050308355	0.005699438	0.005699438	0.005699438	0.005699438	0.0050308355	0.005699438	0.005699438	0.005699438	0.005699438	0.005699438	0.005699438	0.005699438	0.005699438	0.0056994352	0.0056994352	0.0056994352	0.0056994352	0.0056994352	0.0056994352	0.0056994352	0.0056994352	0.0056994352	0.0056994352	0.0050308327	0.0056994352	0.0050308313	0.005699437	0.005699437
744	0.008450015	0.008450015	0.008450015	0.008450015	0.008450015	0.008450015	0.008450015	0.008450015	0.008450015	0.008450015	0.008450015	0.008450015	0.010437301	0.008450015	0.00785233	0.008450015	0.008450015	0.008450015	0.00785233	0.008450015	0.008450015	0.008450015	0.008450015	0.00785233	0.008450015	0.008450015	0.008450015	0.008450015	0.008450015	0.008450015	0.008450015	0.008450015	0.008450007	0.008450007	0.008450007	0.008450007	0.008450007	0.008450007	0.008450007	0.008450007	0.008450007	0.008450007	0.00785233	0.008450007	0.007852328	0.008450011	0.008450011
4612	0.004002145	0.004002145	0.004002145	0.004002145	0.004002145	0.004002145	0.004002145	0.004002145	0.004002145	0.004002145	0.004002145	0.004002145	0.0038200868	0.004002145	0.004006258	0.004002145	0.004002145	0.004002145	0.004006258	0.004002145	0.004002145	0.004002145	0.004002145	0.004006258	0.004002145	0.004002145	0.004002145	0.004002145	0.004002145	0.004002145	0.004002145	0.004002145	0.004002143	0.004002143	0.004002143	0.004002143	0.004002143	0.004002143	0.004002143	0.004002143	0.004002143	0.004002143	0.004006258	0.004002143	0.004006257	0.0040021446	0.0040021446
1782	0.011841707	0.011841707	0.011841707	0.011841707	0.011841707	0.011841707	0.011841707	0.011841707	0.011841707	0.011841707	0.011841707	0.011841707	0.020662699	0.011841707	0.0113530625	0.011841707	0.011841707	0.011841707	0.0113530625	0.011841707	0.011841707	0.011841707	0.011841707	0.0113530625	0.011841707	0.011841707	0.011841707	0.011841707	0.011841707	0.011841707	0.011841707	0.011841707	0.011841702	0.011841702	0.011841702	0.011841702	0.011841702	0.011841702	0.011841702	0.011841702	0.011841702	0.011841702	0.011353067	0.011841702	0.011353063	0.011841706	0.011841706
