	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
118	0.37345773	0.23305903	0.791777	0.23188417	0.8585285	0.39032772	0.35977724	0.54402035	0.6296737	0.82296634	0.4993936	0.79204875	0.53432715	0.36916995	0.48346284	0.24895144	0.08232913	0.5061123	0.34937915	0.14650103	0.23847349	0.22063665	0.85545886	0.586001	0.60275704	0.39721173	0.20660757	0.78805614	0.50037354	0.7479354	0.4879237	0.42777142	0.78454596	0.6055854	0.51447725	0.21016659	0.6037055	0.43923047	0.36379877	0.31435952	0.5461535	0.29641712	0.81865513	0.5741885	0.41249487	0.5615512	0.45647722
40	0.32114524	0.5093595	0.053642932	0.06044634	0.04820162	0.22252408	0.3095248	0.2229958	0.09463879	0.06415667	0.30449498	0.05493402	0.26329428	0.3893638	0.23104171	0.33907625	0.028853888	0.19399703	0.12170661	0.05763851	0.5278519	0.31585142	0.048816647	0.22647943	0.14983615	0.31620014	0.23452884	0.052124426	0.21854797	0.11826314	0.094087705	0.15717584	0.088395804	0.13219908	0.2329358	0.0894429	0.11572597	0.15481366	0.40508664	0.3684314	0.10662115	0.11058875	0.054379463	0.17603923	0.2560411	0.16477306	0.21592207
265	0.006087649	0.004627642	0.005146632	0.51793116	0.0034301975	0.0138038965	0.007874213	0.0040746364	0.016714562	0.0047675604	0.0040744646	0.005250229	0.0046444223	0.0044615497	0.008208864	0.0013298832	0.49942195	0.0064857192	0.0166766	0.47586423	0.0045880903	0.086313754	0.003024709	0.005306585	0.0037073812	0.0036611687	0.08247846	0.0053067976	0.005476865	0.0042835106	0.009945144	0.0122615965	0.004772093	0.013323638	0.0055851038	0.07560865	0.0017513393	0.0021590968	0.002875032	0.006740505	0.0011907851	0.34373823	0.005071369	0.005761057	0.004107842	0.010717147	0.007191843
564	0.04472051	0.045406222	0.0344859	0.009652854	0.026647428	0.028886415	0.0407674	0.08410598	0.028906886	0.029023893	0.053819083	0.033519465	0.054724462	0.057848517	0.04734404	0.17262791	0.016563158	0.06269274	0.03879059	0.006953733	0.0358725	0.025567636	0.028322233	0.03656044	0.0745654	0.070664674	0.019023849	0.032048073	0.0600603	0.03382129	0.038734093	0.038841087	0.032214254	0.040477566	0.0664059	0.016278064	0.15544009	0.23624693	0.06934999	0.040360656	0.23143674	0.01782827	0.027765797	0.052626025	0.05368131	0.047025684	0.07098717
69	0.14704534	0.08482077	0.04141043	0.06394769	0.026507434	0.24070877	0.1645486	0.05305775	0.1462254	0.03411904	0.05205354	0.0419157	0.054800306	0.06961758	0.1298193	0.07676232	0.07205424	0.10677008	0.32357094	0.1757072	0.080951795	0.14699438	0.027832445	0.07181666	0.08481139	0.096434124	0.2926879	0.04252138	0.09642906	0.042413943	0.15636662	0.2515163	0.040080834	0.09471267	0.07377172	0.4791624	0.04019157	0.051257595	0.050892137	0.15601563	0.033335343	0.080275856	0.04273004	0.105171755	0.14883807	0.112774976	0.08997015
41	0.04266331	0.03576529	0.04605033	0.029418815	0.018504841	0.043251514	0.048729878	0.035929475	0.041084796	0.022456503	0.029718883	0.04502827	0.034420732	0.03784812	0.042005923	0.060038652	0.04351577	0.06186137	0.07278184	0.03345429	0.031748332	0.057158366	0.018250687	0.029499922	0.03872745	0.045365695	0.048682675	0.05205538	0.059271753	0.023793388	0.1428802	0.05214688	0.023639541	0.06115901	0.047023874	0.043045416	0.037895244	0.045855053	0.035999183	0.0425691	0.034019988	0.039579302	0.028557844	0.038597442	0.06264529	0.0488243	0.083584756
980	0.01403074	0.024444321	0.002579878	0.005943648	0.0029240923	0.010264287	0.013506937	0.011640555	0.004943678	0.0037893686	0.016375031	0.0026573192	0.0136838555	0.018956413	0.011016712	0.0123244785	0.0024811435	0.008416406	0.004840702	0.004600858	0.025705034	0.020309357	0.002919984	0.011758901	0.0069445125	0.014534878	0.013388712	0.0024133564	0.009276017	0.006632406	0.003159129	0.0067323404	0.005082873	0.006283171	0.011191474	0.0049227383	0.005465975	0.0072196433	0.019467184	0.016258188	0.005087412	0.009743188	0.0029409756	0.008353198	0.009487277	0.007970796	0.008902264
744	0.01013975	0.012425506	0.004904356	0.0034645342	0.004743933	0.007672431	0.009709772	0.011576688	0.0058083236	0.0054521263	0.012275384	0.004934785	0.011416189	0.012682516	0.009442584	0.01277867	0.002052998	0.009304866	0.0055772434	0.0026267464	0.012108211	0.009142484	0.0048232856	0.00970027	0.008852125	0.012149607	0.0065883007	0.0047257715	0.009701788	0.0074335164	0.0054045194	0.0067694434	0.0064386646	0.0073079313	0.010793238	0.0038388632	0.009422792	0.011110649	0.013623351	0.010285991	0.009672158	0.0055209734	0.0048280847	0.008769115	0.009333958	0.008253063	0.009832287
4612	0.0037994236	0.0027056546	0.0024302981	0.0021493388	0.0016123443	0.0048039337	0.00414544	0.0025492916	0.004109978	0.0018788484	0.0023370273	0.0024267472	0.0024869558	0.0026761945	0.0037667511	0.0030575956	0.0021770552	0.0038992178	0.0061339648	0.003219717	0.002538221	0.0040527103	0.0016541895	0.0026905935	0.0032043168	0.0034641689	0.0049684104	0.0025230795	0.0036183128	0.0020739706	0.0055007567	0.0051639	0.0020369668	0.0036477854	0.00309849	0.0061337985	0.002349804	0.0026911143	0.0023008734	0.0038169797	0.0021057175	0.0027366362	0.002198299	0.0034435785	0.004281574	0.0037346561	0.0037971316
1782	0.008487148	0.010413819	0.0027502838	0.02924211	0.0008839039	0.009117013	0.010298141	0.0061302204	0.0055824392	0.0013591544	0.004286874	0.0026780267	0.0048083365	0.007863608	0.007679168	0.019505735	0.17029387	0.010183389	0.019902894	0.04127906	0.007862674	0.044178974	0.00086737913	0.003164085	0.0052015265	0.0087803425	0.03471142	0.0028892152	0.008915589	0.0017093996	0.016341425	0.011017365	0.0016283818	0.008650759	0.007857936	0.02656923	0.005646337	0.013680833	0.006876972	0.009915884	0.0063039884	0.037082594	0.001625761	0.0053718193	0.009330682	0.008147634	0.016076082
417	0.0065447837	0.0058158417	0.0036871682	0.008272266	0.002318512	0.0077427635	0.0072437786	0.0048988145	0.006354365	0.002895241	0.0045505874	0.0036840274	0.0048046443	0.0055065546	0.006517533	0.005708863	0.00959526	0.006740191	0.0093895625	0.00983719	0.005383678	0.012226132	0.002302031	0.004588251	0.0049388916	0.0060696267	0.011879753	0.0037936948	0.0063212193	0.0033400236	0.008301041	0.007865245	0.0032195563	0.0066967276	0.0058430717	0.010782733	0.0038796877	0.0050602485	0.004786139	0.006855957	0.003519994	0.010282215	0.003173562	0.005498406	0.0066183372	0.0066058454	0.007461937
638	0.005125315	0.00800613	0.0010036948	0.020385755	0.0005661475	0.0055168713	0.0059499303	0.003213446	0.0027778663	0.0008717772	0.003467882	0.0010149067	0.003371336	0.005406193	0.0043419152	0.004801445	0.03203554	0.0039542248	0.0054483325	0.022328757	0.0072836294	0.03056047	0.00054040266	0.0026353626	0.0021226062	0.0045111636	0.021670165	0.0010066705	0.0037928491	0.001303504	0.0033334342	0.0044232705	0.0011195878	0.0037013148	0.0039360058	0.010586485	0.0015319365	0.0029378769	0.004615935	0.006413573	0.0013921149	0.024933213	0.0008383631	0.0027585053	0.0037978033	0.0038796966	0.005292406
4613	0.0037395505	0.010981298	0.00028120764	0.00013065217	0.00019623032	0.0014138357	0.003376004	0.0034488742	0.00037375535	0.0002768887	0.0039246255	0.0002807977	0.003101415	0.006702362	0.0020799248	0.020608785	0.00018172784	0.002303365	0.0009082139	0.00012572529	0.009501261	0.0026031812	0.00021203805	0.001681151	0.001734602	0.0061062705	0.0013240498	0.0002639525	0.0026661607	0.000668083	0.00074734306	0.0010854669	0.0004385726	0.00082959735	0.0030413966	0.00036381223	0.0026538188	0.005999842	0.009065829	0.0046305703	0.0036345215	0.00035441446	0.00022202561	0.0015381011	0.00344548	0.0012247199	0.0032065061
