	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
118	0.3995675	0.2855905	0.8081186	0.29145536	0.9123837	0.39158055	0.37317693	0.57505965	0.6092257	0.87186265	0.562917	0.8119604	0.57877743	0.4425643	0.48716608	0.27947766	0.060331404	0.4870296	0.36618513	0.12258563	0.29893366	0.1921386	0.9062864	0.6032457	0.60467666	0.358255	0.14794989	0.78730774	0.4911023	0.7624492	0.4720416	0.42693347	0.816104	0.57633674	0.5280987	0.26942772	0.5966153	0.46497	0.45613503	0.34577176	0.5526085	0.29291078	0.854345	0.56589407	0.36758107	0.53974843	0.4240373
40	0.29697204	0.46050537	0.014212074	0.075171955	0.017184524	0.20947717	0.28237027	0.20293805	0.044070523	0.034775175	0.28495213	0.015379246	0.26183218	0.36005676	0.21752742	0.32773623	0.0075557516	0.18238154	0.11902806	0.082378626	0.49599272	0.31374836	0.01813301	0.24216369	0.122922786	0.27286005	0.2390419	0.013802271	0.22079644	0.13178703	0.068573	0.14284784	0.07750392	0.123181194	0.22517022	0.08576321	0.10282478	0.13004108	0.36084127	0.33064014	0.09298984	0.13917832	0.017049417	0.16389881	0.24127312	0.15916394	0.23112063
265	0.005718507	0.0040191202	0.0009998354	0.5048669	0.0021481705	0.0105539225	0.0058549196	0.0036290577	0.013405576	0.003915678	0.0017949634	0.0011745924	0.0010413299	0.0015532024	0.008241388	0.0011429613	0.59588647	0.004827314	0.017102774	0.46269554	0.0036985318	0.11781682	0.0023824272	0.0033879555	0.0063444856	0.002754307	0.19515538	0.00093380193	0.0033789794	0.0027630965	0.0027922166	0.013163306	0.003658466	0.018314099	0.0033863066	0.023558913	0.0029291415	0.0054145055	0.0014963152	0.006235387	0.0027738684	0.42431653	0.0027087817	0.007766042	0.0020092137	0.024711458	0.00399337
564	0.034261946	0.03698154	0.022036511	0.01628214	0.014719236	0.028358907	0.03689468	0.09410338	0.022588395	0.020237261	0.038862657	0.022830088	0.030823736	0.03220186	0.042745832	0.12868173	0.005984769	0.07666651	0.045776557	0.018255644	0.02237376	0.03751593	0.017880881	0.023139363	0.0801155	0.14082447	0.030226689	0.021908011	0.06157922	0.024435962	0.03262053	0.039431598	0.024859672	0.051973324	0.06874403	0.016742412	0.18983455	0.25922605	0.052603763	0.0333535	0.25567874	0.01884524	0.01654202	0.050206717	0.037734494	0.060123656	0.07686669
69	0.17592947	0.109524444	0.029671175	0.05674475	0.01779941	0.27305672	0.19588003	0.040567804	0.22634833	0.026628088	0.031683594	0.030871369	0.03182392	0.056304384	0.15736902	0.077614546	0.08760004	0.11797742	0.33676597	0.22615105	0.09335931	0.16410787	0.01830707	0.06095288	0.09863021	0.071169965	0.2679956	0.032096002	0.1011393	0.027926138	0.17524144	0.2858611	0.031028936	0.10678652	0.07320317	0.47286692	0.0280405	0.051376957	0.03615249	0.18859918	0.021569395	0.05247049	0.041961003	0.13433307	0.1718993	0.124475405	0.07546668
41	0.035002243	0.036328673	0.079767145	0.023028696	0.01643428	0.03600742	0.045209132	0.027733276	0.0445749	0.01865017	0.019438311	0.07520403	0.025511183	0.03300331	0.03387141	0.07068208	0.062091343	0.066208705	0.064854555	0.029564697	0.026815131	0.058047492	0.016662637	0.017782994	0.034670994	0.04920811	0.03393543	0.09674155	0.05997778	0.014239862	0.17188902	0.04477983	0.016834317	0.06860937	0.04482592	0.07175649	0.033791024	0.03600191	0.028629217	0.03683483	0.027684199	0.024026664	0.036302995	0.030859632	0.07053633	0.042190343	0.1050216
980	0.009280281	0.014553092	0.00040714678	0.003625633	0.0008959883	0.0069351806	0.00887277	0.014887949	0.0010664365	0.0019158865	0.020038929	0.00044281123	0.01889714	0.01732676	0.0089985	0.015844299	0.0006347853	0.0070904293	0.0029402638	0.0049790586	0.01482389	0.019579109	0.0010333904	0.013625279	0.007019859	0.018907072	0.015553802	0.0003317132	0.008280341	0.009680432	0.0010019687	0.004306284	0.005018656	0.004796615	0.010410594	0.0020358409	0.008418821	0.00879786	0.018273126	0.010387829	0.00941003	0.009322073	0.0005562789	0.0073583	0.00930811	0.0071785455	0.009237862
744	0.00878209	0.010186102	0.0030071812	0.0042067384	0.0037722283	0.0073344773	0.0087282965	0.013045403	0.0037343286	0.0052811084	0.013682281	0.0031061657	0.0137901325	0.012450344	0.009434386	0.014420817	0.0015934381	0.009653689	0.0050878376	0.0042373547	0.009618073	0.008356222	0.004097862	0.011483565	0.010226388	0.015998047	0.006646654	0.0027416442	0.009977296	0.010256759	0.0040733586	0.0061896574	0.007981566	0.007174696	0.010951521	0.0036137146	0.010632653	0.010547338	0.012826914	0.008973615	0.010893592	0.0061238226	0.0032675124	0.009274388	0.010912962	0.008298117	0.0102323005
4612	0.0033604626	0.0025653127	0.0034768116	0.0008387072	0.0016041222	0.004333426	0.004097749	0.0026671288	0.0050726193	0.0018228383	0.0016581719	0.0033797561	0.0019937183	0.0023344194	0.0039552003	0.006035665	0.0035637598	0.005103941	0.005582248	0.002214171	0.0017609464	0.0030715966	0.0017533645	0.0019417207	0.0050236825	0.005931692	0.0030162015	0.0035276539	0.0040932507	0.0014394944	0.005973408	0.005051521	0.0017535791	0.0038064169	0.0033302652	0.0057097087	0.0031421161	0.004184434	0.0017870691	0.003510665	0.0030189818	0.0009185252	0.0029704773	0.004041629	0.0069352426	0.0035541938	0.0042738547
1782	0.011630384	0.013516172	0.018971784	0.00161409	0.005343455	0.01166258	0.014642639	0.005018874	0.009954915	0.0056126793	0.008491962	0.016976126	0.016763078	0.019522494	0.009939443	0.018075371	0.015167103	0.012030831	0.007854867	0.0032383676	0.013312771	0.009237105	0.0050119744	0.010130187	0.007063281	0.011993245	0.005108694	0.020289911	0.01354818	0.006018156	0.028126743	0.008606365	0.0058510867	0.009290893	0.009470058	0.017453292	0.0025649264	0.0021205458	0.00922295	0.013213332	0.0016577936	0.0023559753	0.01105614	0.0076954425	0.04262046	0.005597021	0.01807197
