	RSE	RRSE
1	8.925703	2.9875915
13	5.2369375	2.2884357
125	12.615279	3.5517995
8	8.448074	2.906557
4628	22.755465	4.770269
437	15.50365	3.9374673
199	34.602547	5.882393
179	9.416527	3.068636
4629	5.1087537	2.2602553
845	19.520432	4.4181933
1119	9.026473	3.0044088
42	46.2345	6.799596
88	42.60791	6.5274734
4630	25.607016	5.0603375
52	2.8106291	1.676493
435	1.7771373	1.3330932
358	77.60224	8.809214
70	9.270845	3.0448062
148	21.58808	4.6462975
769	43.307724	6.5808606
93	6.103628	2.4705522
4631	9.958911	3.155774
693	15.008191	3.8740406
625	48.900417	6.992883
612	3.1941304	1.7872131
471	54.29433	7.3684688
608	47.16031	6.8673363
482	3.182942	1.7840801
4632	10.914401	3.303695
4633	41.672073	6.455391
4634	14.733999	3.8384893
4635	15.262989	3.9067876
838	3.0141513	1.7361312
224	12.9805155	3.6028483
184	1.8355949	1.3548412
484	2.5394833	1.5935756
4636	31.321283	5.596542
4637	4.4116497	2.1003928
4638	2.36548	1.5380117
282	43.54341	6.598743
205	197.87366	14.066757
739	1.478177	1.215803
4639	21.672924	4.655419
4640	5.898797	2.4287438
4641	11.756948	3.4288406
767	143.2374	11.968183
227	78.85191	8.87986
3297	20.325018	4.5083275
231	14.58884	3.8195338
4642	116.877075	10.81097
4643	22.108438	4.701961
3169	19.888641	4.459668
4644	1.6249619	1.2747399
504	4.6362634	2.1531985
591	13.714933	3.703368
3948	156.70161	12.518051
4645	16.610764	4.0756307
4646	27.783993	5.2710524
255	139.89603	11.827765
410	4.9473276	2.224259
4647	67.85958	8.237693
4648	335.93372	18.328495
4649	37.90081	6.1563635
1074	15.487979	3.935477
279	28.069489	5.2980647
653	2.1708393	1.4733769
4650	3.3257136	1.8236539
4651	2.2526422	1.5008805
4652	6.57925	2.5650048
4653	2.2747781	1.5082368
302	41.06948	6.4085474
4654	24.117964	4.9110045
2251	97.707054	9.884687
4655	16.81778	4.100949
4656	133.15442	11.539255
771	238.00285	15.427341
4657	22.291819	4.7214212
1865	265.96222	16.308348
338	51.51591	7.177459
4658	3.978237	1.9945518
4659	2.004026	1.4156362
352	31.539282	5.6159844
4660	75.482025	8.688039
4661	3.3529665	1.8311107
4662	10.156905	3.18699
4663	27.828987	5.2753186
2164	39.307793	6.269593
4664	58.688244	7.6608253
4665	11.325461	3.3653324
4666	30.245182	5.499562
4667	3.1405652	1.772164
4668	13.398928	3.6604545
383	35.54781	5.9621983
4669	85.14475	9.227391
388	75.38055	8.682198
4670	1.8595484	1.3636526
4671	85.888885	9.267626
826	56.038464	7.485884
2822	25.119446	5.0119305
1589	19.985786	4.4705467
4672	22.79308	4.77421
1904	6.677037	2.5839963
4673	19.885136	4.4592752
2129	3.8633792	1.965548
4674	7.279049	2.6979713
4675	2.1803203	1.4765908
585	38.33569	6.191582
1226	36.1064	6.00886
4676	3.295563	1.8153685
4677	33.476894	5.785922
1072	18.672684	4.32119
1229	111.85033	10.575932
511	4.0236006	2.0058916
805	99.831955	9.991594
488	3.6094396	1.8998525
2200	2.1812713	1.4769127
4678	4.390594	2.0953743
597	45.176323	6.7213335
4679	25.176418	5.017611
538	26.796669	5.17655
4680	1.7921462	1.3387107
4681	12.884219	3.5894594
4682	55.138344	7.42552
2100	1.8960797	1.3769821
4683	49.603256	7.042958
576	11.631966	3.4105668
4684	31.40377	5.6039066
3065	0.9999633	0.99998164
4685	8.962804	2.9937942
4686	4.4468703	2.1087604
2423	2.1048517	1.4508107
4687	30.94362	5.562699
4688	19.224087	4.384528
4689	8.487495	2.9133306
4690	4.9527917	2.2254868
4691	10.033015	3.1674936
2020	201.58615	14.198104
4692	44.668003	6.6834126
3680	38.808792	6.2296705
4693	89.094826	9.439006
4694	19.832129	4.4533277
1110	38.755135	6.2253623
661	32.193447	5.673927
4695	330.79187	18.187685
4696	3.9096568	1.9772851
2515	17.33446	4.1634674
4697	1.6536988	1.2859622
914	20.1898	4.493306
1065	9.460738	3.0758314
683	0.9999792	0.99998957
4698	122.194466	11.05416
3314	31.407228	5.604215
4699	3.109879	1.763485
1024	6.7489934	2.5978825
2732	125.58862	11.206633
4700	99.64	9.981984
1887	34.475567	5.8715897
1680	2.8594816	1.6910002
4701	55.949028	7.4799085
4702	2.93806	1.714077
3724	39.63227	6.295417
4703	45.245148	6.7264514
737	26.04334	5.1032677
2110	0.99997264	0.9999863
