	RSE	RRSE
1	13.745045	3.707431
13	150.91458	12.28473
125	10.97148	3.3123226
8	119.78729	10.944738
4628	240.52776	15.508957
437	4125.5312	64.2303
199	369.6757	19.226952
179	9.770522	3.1257834
4629	6.208012	2.4915884
845	13.75753	3.7091146
1119	20.500587	4.5277576
42	63.776417	7.986014
88	123.76987	11.125191
4630	33.90793	5.8230515
52	4.038009	2.0094798
435	2.087022	1.4446529
358	1967.9111	44.361145
70	8.6095705	2.934207
148	15.7269945	3.9657276
769	37.54242	6.127187
93	7.5409822	2.746085
4631	10.029662	3.1669643
693	1074.3068	32.77662
625	266.14056	16.313816
612	4.876985	2.2083898
471	107.68262	10.377024
608	52.2902	7.2311964
482	7.4463825	2.728806
4632	54.792038	7.4021645
4633	1149.5421	33.9049
4634	15.818442	3.9772406
4635	12.706237	3.564581
838	4.7555566	2.180724
224	48.762077	6.982985
184	2.3917308	1.5465221
484	7.0787225	2.6605868
4636	27.303162	5.2252426
4637	12.651525	3.556898
4638	5.257771	2.292983
282	83.01536	9.111277
205	3055.451	55.276134
739	2.0124464	1.4186072
4639	5038.586	70.982994
4640	65.30223	8.080979
4641	11.966352	3.4592416
767	2665232.5	1632.554
227	162.46658	12.746238
3297	1226.0623	35.01517
231	14.645606	3.8269577
4642	552.8644	23.51307
4643	115.317375	10.738593
3169	359.36847	18.957016
4644	2.4080486	1.5517888
504	7.1406	2.6721902
591	14.060648	3.749753
3948	268.8902	16.397871
4645	16.105936	4.0132203
4646	22.782337	4.7730846
255	93.236015	9.65588
410	7.136379	2.6714
4647	991.16266	31.482737
4648	5463.9097	73.91827
4649	30.68971	5.5398293
1074	76.83938	8.765807
279	119.47837	10.930616
653	2.4217322	1.5561916
4650	5.5797706	2.3621538
4651	4.626516	2.1509337
4652	11.8765745	3.4462407
4653	3.9829412	1.9957308
302	42.985817	6.556357
4654	21.928493	4.682787
2251	539.2004	23.220688
4655	17.542204	4.1883416
4656	36.267925	6.022286
771	94011.55	306.61304
4657	26.702621	5.167458
1865	195.54773	13.983838
338	50.761013	7.124676
4658	8.716958	2.9524496
4659	2.6236517	1.6197691
352	33.71506	5.806467
4660	649.4042	25.48341
4661	5.240767	2.289272
4662	16.115244	4.0143795
4663	64.4238	8.0264435
2164	38.35454	6.1931043
4664	538.32245	23.201777
4665	11.688934	3.4189084
4666	30.686478	5.539538
4667	4.9225125	2.2186737
4668	26.270952	5.1255198
383	33.57095	5.7940445
4669	113.52705	10.654907
388	100.39206	10.019584
4670	3.512104	1.8740609
4671	79.81643	8.934004
826	202.85046	14.2425585
2822	26.803877	5.177246
1589	32.683594	5.7169566
4672	26.432175	5.141223
1904	20.602194	4.538964
4673	22.993849	4.7951903
2129	5.8297563	2.4144888
4674	5.0749354	2.2527618
4675	1.3976272	1.1822128
585	35.077625	5.9226365
1226	38.142723	6.1759796
4676	3.2547374	1.8040891
4677	34.46826	5.870968
1072	23.6094	4.8589506
1229	50.661587	7.1176953
511	6.1035953	2.4705455
805	44830.65	211.7325
488	6.411925	2.532178
2200	1.4984783	1.2241235
4678	6.578525	2.5648634
597	11.984247	3.461827
4679	89.18066	9.443551
538	39.882362	6.3152485
4680	1.6635046	1.2897692
4681	3.2405927	1.8001646
4682	494.68027	22.24141
2100	1.3542832	1.1637367
4683	10.351901	3.217437
576	14.467175	3.8035738
4684	28.311758	5.3208795
3065	0.9999998	0.9999999
4685	8.226155	2.8681276
4686	5.523954	2.3503094
2423	1.5039866	1.2263713
4687	4.075009	2.018665
4688	4.112594	2.0279531
4689	4.510388	2.1237674
4690	2.287157	1.512335
4691	5.312207	2.3048227
2020	28.646519	5.3522444
4692	50.05174	7.074725
3680	71.453545	8.45302
4693	66.99309	8.184931
4694	6.5577683	2.560814
1110	456.87396	21.37461
661	35.17534	5.93088
4695	39285.39	198.20543
4696	7.4878974	2.7364023
2515	11.373976	3.3725326
4697	1.4194735	1.1914166
914	12.3443985	3.5134597
1065	6.7752743	2.6029358
683	0.9999999	0.99999994
4698	1291.1946	35.933197
3314	3.927159	1.9817061
4699	1.6874096	1.2990034
1024	2.7780163	1.6667383
2732	352.92224	18.786224
4700	150.45845	12.26615
1887	32.25126	5.679019
1680	2.0240197	1.4226805
4701	35.928432	5.994033
4702	3.4575353	1.8594449
3724	198.9762	14.105892
4703	9.743672	3.1214857
737	15.235877	3.9033163
2110	0.99999994	0.99999994
