	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
1	0.5414371	0.47150257	0.5081263	0.5512926	0.49300435	0.49473432	0.6301266	0.4164296	0.53639287	0.6517681	0.4711683	0.52862996	0.40849373	0.53752625	0.6207523	0.4954643	0.53854775	0.59279597	0.51079744	0.45259932	0.54036313	0.50518453	0.57963026	0.6207523	0.5805683	0.43094552	0.55609393	0.45183364	0.52566385	0.634999	0.5564671	0.5218318	0.8182436	0.46722358	0.53854126	0.5291828	0.583649	0.53854126	0.45546135	0.49253142	0.583649	0.56449145	0.560154	0.54919493	0.62075233	0.55765826	0.46722364
13	0.1929405	0.24900475	0.17335923	0.17882872	0.244622	0.23347418	0.14576516	0.21522844	0.18525533	0.13237192	0.2362712	0.2223534	0.32111052	0.18365943	0.14427824	0.1950414	0.18381578	0.15963402	0.17649119	0.2282309	0.19870831	0.23613064	0.17704515	0.14427824	0.1831599	0.26165524	0.14681119	0.25951722	0.20124827	0.1406585	0.20142952	0.21344213	0.025225185	0.1829399	0.19721209	0.1979538	0.16742694	0.19721209	0.25690976	0.24685015	0.16742694	0.18612432	0.16919792	0.1960283	0.14427818	0.15277256	0.18293993
125	0.0067168	0.010329991	0.012028731	0.0075876797	0.007588599	0.008037283	0.0026816693	0.031234663	0.01073077	0.0023391328	0.012562839	0.004976783	0.016218167	0.008272556	0.003501911	0.016012333	0.007881965	0.0045635356	0.011223588	0.017907068	0.005790746	0.0074686925	0.0044641737	0.003501911	0.004210681	0.019356595	0.00824706	0.012819037	0.008329128	0.0030619707	0.0053606504	0.008734655	0.000117867974	0.019695217	0.0048936536	0.00793336	0.0047406177	0.0048936536	0.012943657	0.008033012	0.0047406177	0.0050212964	0.006303894	0.0058773933	0.0035019147	0.008202734	0.019695222
8	0.045740448	0.068068095	0.044456027	0.041358855	0.055478636	0.05792382	0.045724783	0.045219187	0.04933667	0.036611233	0.046451423	0.060427926	0.059936643	0.048206095	0.04143307	0.05516588	0.043732375	0.04059753	0.04260978	0.0570201	0.06618526	0.056933172	0.056770287	0.04143307	0.042782087	0.054508537	0.03812736	0.05983108	0.04524087	0.03758752	0.054091476	0.047113314	0.010309994	0.046102624	0.08479285	0.050067768	0.06507366	0.08479285	0.060535483	0.05635476	0.06507366	0.052597735	0.04024271	0.050863627	0.04143306	0.0405211	0.04610262
4628	0.087599665	0.06882739	0.107229166	0.09699077	0.07635976	0.075864606	0.06641685	0.124357305	0.08704681	0.07387556	0.099810705	0.06455765	0.0745994	0.08872212	0.07667464	0.09231873	0.09503177	0.085173026	0.10859985	0.09313817	0.062577665	0.07356352	0.06486099	0.07667464	0.0797808	0.09369663	0.10796655	0.080509044	0.09275647	0.07759056	0.07013427	0.088117294	0.055052254	0.11343208	0.048058756	0.08584362	0.05839386	0.048058756	0.07834247	0.075109094	0.05839386	0.072060734	0.095821686	0.07720701	0.07667465	0.10192636	0.11343199
437	0.011453494	0.013797356	0.011680492	0.01072451	0.013395458	0.013292632	0.008874572	0.013902338	0.011046043	0.008087701	0.013510815	0.012366121	0.015443762	0.011303367	0.008900532	0.012013921	0.01125449	0.009721097	0.01168111	0.013783445	0.011628288	0.012897776	0.010404048	0.008900532	0.01041632	0.01459916	0.01000991	0.014456362	0.011795196	0.008469571	0.011110837	0.011927916	0.0024887652	0.012521043	0.0115087135	0.011789175	0.0100014815	0.0115087135	0.014335373	0.013350466	0.0100014815	0.0109060155	0.010576476	0.011359423	0.0089005325	0.010120397	0.012521034
199	0.01347425	0.010518544	0.01763185	0.014496339	0.010637431	0.01142295	0.013093348	0.016266014	0.01416427	0.013762152	0.012668008	0.010500521	0.008131663	0.0145343235	0.014273863	0.014812137	0.014681583	0.014281206	0.017206343	0.013564745	0.011635632	0.010625982	0.012102845	0.014273863	0.012226348	0.011623248	0.018611329	0.010979725	0.013393766	0.01385815	0.011135487	0.012216331	0.0223792	0.018248832	0.010503729	0.013327714	0.012293894	0.010503729	0.010995859	0.010373383	0.012293894	0.012403794	0.0153017435	0.012355448	0.014273879	0.0174928	0.018248826
179	0.0003619361	0.0003638973	0.0004987537	0.0003675336	0.00032922323	0.00035936674	0.00031240936	0.000528613	0.0003954843	0.0002936963	0.00037842576	0.0003189541	0.000291867	0.00040059793	0.00033254194	0.00045448364	0.00038993705	0.00034212923	0.00047682508	0.00045360872	0.00036055775	0.00032389828	0.0003344875	0.00033254194	0.00030131912	0.00039185546	0.00046025604	0.0003714752	0.00036496372	0.00030465357	0.00030767085	0.00033572112	0.00026907222	0.00056625024	0.0003580265	0.00037559992	0.00035321858	0.0003580265	0.00037534087	0.00032161537	0.00035321858	0.00033915188	0.00038417138	0.00034076392	0.00033254232	0.0004404938	0.0005662495
4629	0.006527419	0.0071151997	0.0075315093	0.006322189	0.0063798404	0.0068322998	0.0064105666	0.0073026344	0.006995775	0.005823761	0.006369504	0.0066576684	0.0057528308	0.0069963336	0.006363214	0.007543103	0.0066675353	0.006291568	0.0072609265	0.0074317185	0.007371501	0.006440322	0.0068724467	0.006363214	0.005905734	0.0066345753	0.0070707835	0.006804449	0.0064333486	0.005918039	0.0063301027	0.0062136916	0.0044214404	0.007985965	0.0080149025	0.0067637404	0.0074503147	0.0080149025	0.006894874	0.0063412683	0.0074503147	0.0067086625	0.006548117	0.006566408	0.0063632145	0.007040662	0.007985962
845	0.0035717199	0.0045594354	0.004567773	0.0035297852	0.0040287683	0.0041494705	0.002274198	0.006709949	0.003965482	0.002030776	0.004792216	0.0033850742	0.005280605	0.0038191562	0.0024788815	0.0048708343	0.0037486276	0.002842525	0.00444417	0.005561118	0.0034633933	0.0038678136	0.002927869	0.0024788815	0.0028268676	0.005698115	0.003644776	0.0050081722	0.0038624357	0.0022653139	0.003156638	0.003842858	0.00044121317	0.0056292196	0.003280364	0.0038284059	0.0029279876	0.003280364	0.0049820137	0.004030738	0.0029279876	0.0031411324	0.0033802087	0.0033717232	0.002478883	0.0036226378	0.005629215
1119	0.00771209	0.008477622	0.007998863	0.007347557	0.008185149	0.008336731	0.007111187	0.008072093	0.00754559	0.006590941	0.007973886	0.008185699	0.007936808	0.0077816923	0.006999582	0.007943646	0.00765003	0.007179145	0.007913377	0.008382276	0.008204151	0.008042533	0.0076839775	0.006999582	0.0072652576	0.008168948	0.0073849144	0.008406268	0.0076854117	0.0066831675	0.0075861937	0.0075697536	0.0037723775	0.008213092	0.008463354	0.007865059	0.007703127	0.008463354	0.008427442	0.008087268	0.007703127	0.007729536	0.0074721854	0.007756335	0.0069995862	0.00741431	0.008213084
