	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
1	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.6709086	0.67090863	0.67090863	0.67090863
13	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.1036183	0.1036183	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361825	0.10361826	0.10361826	0.10361826
125	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951776	0.005951774	0.005951774	0.005951774
8	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.041057546	0.04105753	0.04105753	0.04105753
4628	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002314	0.07002311	0.07002311	0.07002311
437	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.006788872	0.00678887	0.00678887	0.00678887
199	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966278	0.011966278	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966273	0.011966274	0.011966274	0.011966274
179	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.003644403	0.0036444014	0.0036444014	0.0036444014
4629	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781704	0.0061781686	0.0061781686	0.0061781686
845	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072446	0.0027072446	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072434	0.0027072437	0.0027072437	0.0027072437
