	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
1	0.42449734	0.27618492	0.8406298	0.18428569	0.90462214	0.4247331	0.4043672	0.60405856	0.6172083	0.8619096	0.5847035	0.8269347	0.6113285	0.45769453	0.5323429	0.34010372	0.08629293	0.5400711	0.41132346	0.1589944	0.2760488	0.23902634	0.8982143	0.64982784	0.6330191	0.48363447	0.22821976	0.81833315	0.5748241	0.81109226	0.5111774	0.4795933	0.8333018	0.624137	0.56969684	0.1637794	0.64025414	0.5012525	0.4604859	0.35156485	0.5927596	0.22409022	0.8537989	0.61804676	0.42829517	0.58563656	0.5109231
13	0.3155132	0.5077423	0.043090027	0.061616294	0.034268945	0.2302542	0.2981057	0.18835784	0.08591573	0.049562093	0.25167412	0.045020767	0.21909526	0.32881802	0.20752499	0.3420634	0.014399664	0.1757801	0.13898514	0.065807536	0.53435177	0.3464229	0.03559599	0.19117926	0.14225106	0.26115924	0.28748786	0.0426322	0.19598024	0.08872615	0.085667334	0.15405469	0.06816318	0.12759134	0.20291646	0.0628958	0.10284224	0.13380711	0.3471413	0.3642102	0.09559227	0.09726219	0.039969053	0.15760109	0.28707114	0.15205468	0.22069794
125	0.004389761	0.005664998	9.766105e-05	0.5067627	4.5418915e-06	0.009919649	0.008693441	0.0014807588	0.0024079815	2.5484316e-05	0.00050307414	0.0001591962	0.0006188423	0.0028061809	0.004883851	0.024625456	0.5513921	0.009599145	0.0278752	0.4931525	0.0024804142	0.09821912	6.609762e-06	0.00039394523	0.00260406	0.006986488	0.095857576	0.00022746458	0.0028562257	3.7542755e-05	0.024625702	0.015705474	3.848919e-05	0.0045163226	0.0028860644	0.014050988	0.0017585072	0.009829665	0.0014640848	0.0074881357	0.002328793	0.38766408	5.530311e-05	0.0021672267	0.009729845	0.0056463033	0.008315977
8	0.044319164	0.04399093	0.018218398	0.035583165	0.01566754	0.031345304	0.040118556	0.08730891	0.023828784	0.02075816	0.04943036	0.019729251	0.038956378	0.044194713	0.048735544	0.13740961	0.0030972192	0.06313105	0.040151052	0.025899502	0.033463266	0.04627894	0.01721812	0.03541042	0.06870584	0.064398095	0.036232404	0.019174425	0.06034863	0.027051993	0.032813568	0.038843576	0.025421176	0.04622769	0.07786127	0.0053924257	0.15625593	0.23479332	0.062800415	0.037664022	0.21960938	0.039736588	0.016022667	0.050795026	0.039181076	0.056592036	0.06909941
4628	0.10580901	0.05787767	0.035568308	0.065648526	0.016590483	0.17250162	0.1249132	0.03829001	0.17138954	0.02570216	0.037996173	0.039086454	0.043339748	0.051383413	0.09063528	0.037627917	0.072594315	0.080444515	0.24242651	0.12690616	0.0538657	0.1021343	0.018028684	0.045992535	0.060386125	0.061678506	0.20904797	0.042874113	0.06508138	0.027765442	0.16771923	0.16563371	0.028021753	0.07634791	0.051909108	0.6732961	0.031199036	0.03769759	0.03957436	0.12431573	0.026073135	0.07152595	0.03745175	0.075980745	0.10044012	0.08163687	0.06397322
437	0.015873564	0.025121506	0.0026994557	0.005059292	0.0016703388	0.013403437	0.016399482	0.009015393	0.0049386667	0.0025643453	0.012106484	0.002877536	0.011907318	0.018728716	0.011682803	0.01729971	0.0022362203	0.010529283	0.0081698885	0.004857435	0.025855893	0.022084728	0.001745822	0.010000554	0.0074829827	0.014758178	0.016498407	0.002849445	0.010440298	0.0042771404	0.0062733223	0.009618063	0.0033989728	0.007987962	0.010301818	0.0036763994	0.0044910577	0.0058225873	0.016471453	0.018814124	0.003937813	0.008091727	0.0023266189	0.008411834	0.017196054	0.008891862	0.0129071055
199	0.009136257	0.004716775	0.01371319	0.014510329	0.0060653086	0.015247758	0.011325346	0.007680856	0.020364804	0.008269318	0.0062769083	0.015040545	0.008394647	0.0082198465	0.013096817	0.0060479143	0.025454184	0.015237052	0.02114905	0.014094502	0.004061158	0.010031899	0.0064807683	0.008416967	0.011815164	0.010459985	0.011414029	0.017227188	0.011026283	0.0068788202	0.0314388	0.020734336	0.0077830423	0.01720967	0.009346426	0.016081251	0.00777858	0.0077503077	0.005477965	0.008847429	0.006679608	0.016225995	0.012220719	0.012472997	0.011966097	0.015411004	0.012151633
179	0.00032578484	0.0002575144	0.00018514051	0.0005408342	6.330952e-05	0.0004947377	0.0004197313	0.00020364803	0.00036597354	0.00010565957	0.0001851107	0.00021029456	0.00024231034	0.00032782415	0.00038606318	0.00028643673	0.00093678554	0.0004445025	0.00056437793	0.0005092143	0.00022091116	0.0005706065	6.932717e-05	0.00021490944	0.00027848987	0.0003722339	0.00053760764	0.00024130123	0.00030635536	0.00011103085	0.000725382	0.00057155214	0.00011321786	0.00041874006	0.00026530566	0.00038189295	0.00015416495	0.00019313957	0.00020632487	0.00036321292	0.00013214131	0.0006752475	0.00014947998	0.00030075837	0.00046194863	0.00039891622	0.00040429388
4629	0.004634076	0.0035460847	0.0038124376	0.0067754644	0.0021840213	0.0050324667	0.0050186636	0.006478819	0.0048035346	0.0030103733	0.0042673103	0.004201784	0.0044663344	0.004891801	0.0061432607	0.0079630455	0.0029138485	0.00794318	0.006616287	0.0051025245	0.0027997522	0.0057448437	0.0023794393	0.0041314373	0.0070235203	0.0067261998	0.0048018093	0.004484745	0.0063381307	0.0031214152	0.008052448	0.006776934	0.0032317026	0.0071584173	0.0067464327	0.0017034747	0.008752054	0.011007843	0.0045993985	0.004197228	0.00972972	0.0076273507	0.0032269452	0.006006936	0.005400157	0.0073770904	0.007562989
845	0.003989202	0.0049667032	0.00059053313	0.0047410736	0.00017492443	0.0052580573	0.0051365485	0.0015408524	0.0020317393	0.0003589047	0.0017103312	0.00069101603	0.0020366327	0.0038777038	0.0033737721	0.0038404996	0.0057948744	0.0034539853	0.0045972844	0.0051070126	0.0044227047	0.009811302	0.00019509392	0.0016588214	0.0018096665	0.0037694343	0.008879081	0.0007745018	0.0024633736	0.0005203408	0.004131181	0.0045446167	0.00045769222	0.002633201	0.0021623499	0.0036444825	0.00079376623	0.0012645902	0.0024878108	0.005313525	0.0006651884	0.0065844525	0.00046730117	0.0021246807	0.0054334826	0.0027946003	0.0035963873
