	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
13	5.9736134e-18	5.9737044e-18	5.9657796e-18	5.961457e-18	5.9633675e-18	5.9689667e-18	5.9751404e-18	5.975961e-18	5.9702873e-18	5.964187e-18	5.969809e-18	5.967168e-18	5.9669174e-18	5.9695586e-18	5.9705835e-18	5.9620486e-18	5.957274e-18	5.9727246e-18	5.9750945e-18	5.9708796e-18	5.9694217e-18	5.9692397e-18	5.96314e-18	5.961821e-18	5.9683062e-18	5.9737727e-18	5.976029e-18	5.9682152e-18	5.9717907e-18	5.96537e-18	5.9786514e-18	5.971426e-18	5.9654835e-18	5.971449e-18	5.970219e-18	5.9781497e-18	5.9794496e-18	5.983625e-18	5.9731576e-18	5.9747074e-18	5.9819365e-18	5.962503e-18	5.965074e-18	5.9724512e-18	5.956388e-18	5.970105e-18	5.968989e-18
125	1.2208037e-21	1.2208457e-21	1.2194306e-21	1.2185007e-21	1.2189702e-21	1.2199099e-21	1.2210739e-21	1.2215165e-21	1.2203521e-21	1.2191004e-21	1.2202218e-21	1.219761e-21	1.2196261e-21	1.2200542e-21	1.2202822e-21	1.2185518e-21	1.2179199e-21	1.2208503e-21	1.2209527e-21	1.2203707e-21	1.2197982e-21	1.22011e-21	1.2189144e-21	1.2185471e-21	1.2199519e-21	1.2208782e-21	1.2213302e-21	1.2200542e-21	1.2205476e-21	1.2193004e-21	1.2220152e-21	1.2201659e-21	1.2193423e-21	1.2206361e-21	1.2202544e-21	1.2219405e-21	1.2223369e-21	1.2231905e-21	1.2209015e-21	1.2209062e-21	1.2228592e-21	1.2187331e-21	1.2193051e-21	1.220664e-21	1.217446e-21	1.2203149e-21	1.2199844e-21
8	1.1155266e-09	1.1155734e-09	1.1144355e-09	1.1139298e-09	1.1141061e-09	1.1148906e-09	1.1157202e-09	1.1157968e-09	1.1150522e-09	1.1142273e-09	1.1150224e-09	1.1146142e-09	1.114627e-09	1.1149969e-09	1.1151011e-09	1.1139722e-09	1.1133839e-09	1.1153478e-09	1.1156478e-09	1.1151798e-09	1.1150331e-09	1.1150012e-09	1.1140849e-09	1.1139404e-09	1.114746e-09	1.115618e-09	1.1158627e-09	1.1147439e-09	1.1152372e-09	1.1143995e-09	1.1161374e-09	1.1151585e-09	1.1144058e-09	1.1151564e-09	1.1150565e-09	1.1161332e-09	1.1162311e-09	1.1167933e-09	1.1154436e-09	1.1156819e-09	1.1165483e-09	1.1140743e-09	1.114323e-09	1.1153117e-09	1.1131758e-09	1.1150096e-09	1.1148948e-09
4628	3.6768768e-21	3.676947e-21	3.6715647e-21	3.6686947e-21	3.6699685e-21	3.6738064e-21	3.677943e-21	3.678238e-21	3.6744373e-21	3.6705287e-21	3.674227e-21	3.6723915e-21	3.6722792e-21	3.674101e-21	3.67483e-21	3.6691006e-21	3.6653237e-21	3.6760775e-21	3.677929e-21	3.6747737e-21	3.674283e-21	3.6737644e-21	3.6697727e-21	3.6690307e-21	3.6731617e-21	3.6765965e-21	3.678336e-21	3.673008e-21	3.6755867e-21	3.671341e-21	3.680006e-21	3.675517e-21	3.671411e-21	3.675152e-21	3.6745213e-21	3.679459e-21	3.6804695e-21	3.68318e-21	3.6764143e-21	3.6777888e-21	3.6821125e-21	3.6693385e-21	3.671075e-21	3.6760076e-21	3.6653096e-21	3.674423e-21	3.6736945e-21
437	1.5131814e-24	1.5132737e-24	1.5108627e-24	1.5095089e-24	1.5101079e-24	1.5117563e-24	1.5136028e-24	1.514111e-24	1.5123216e-24	1.5103441e-24	1.5121658e-24	1.5113527e-24	1.5112374e-24	1.5119927e-24	1.5122985e-24	1.5096989e-24	1.5085188e-24	1.5130948e-24	1.5134296e-24	1.5124659e-24	1.5117563e-24	1.5120793e-24	1.5100387e-24	1.5095895e-24	1.5116871e-24	1.5133431e-24	1.5140128e-24	1.5117678e-24	1.5126792e-24	1.5106956e-24	1.5149141e-24	1.5122235e-24	1.5107417e-24	1.512714e-24	1.512235e-24	1.5148505e-24	1.5153071e-24	1.5166488e-24	1.5132218e-24	1.5134066e-24	1.51609925e-24	1.5098832e-24	1.510638e-24	1.5128467e-24	1.5079089e-24	1.5122696e-24	1.511837e-24
199	1.5169943e-11	1.517029e-11	1.5156496e-11	1.5149184e-11	1.5152652e-11	1.5162017e-11	1.517249e-11	1.5173649e-11	1.5164101e-11	1.515401e-11	1.516358e-11	1.5158548e-11	1.515849e-11	1.5162914e-11	1.5164824e-11	1.5149298e-11	1.5140517e-11	1.5167687e-11	1.517168e-11	1.5164592e-11	1.5163261e-11	1.5162597e-11	1.5152131e-11	1.515005e-11	1.516011e-11	1.5169192e-11	1.5173736e-11	1.5160226e-11	1.5166415e-11	1.5156149e-11	1.5177788e-11	1.5165171e-11	1.5156263e-11	1.5165546e-11	1.5164014e-11	1.5177122e-11	1.5179495e-11	1.5186359e-11	1.516896e-11	1.5171912e-11	1.5183665e-11	1.515086e-11	1.5155311e-11	1.5167513e-11	1.5139622e-11	1.5163811e-11	1.516173e-11
179	5.907535e-25	5.9083236e-25	5.8968625e-25	5.8901404e-25	5.8932643e-25	5.90035e-25	5.9095405e-25	5.9132836e-25	5.9040426e-25	5.8943435e-25	5.9034795e-25	5.89936e-25	5.8987074e-25	5.9020157e-25	5.9035244e-25	5.890028e-25	5.8858953e-25	5.9076925e-25	5.90767e-25	5.9044705e-25	5.9000574e-25	5.9028943e-25	5.8929946e-25	5.890073e-25	5.9005977e-25	5.909338e-25	5.9118405e-25	5.901588e-25	5.9053713e-25	5.895918e-25	5.9164657e-25	5.9014083e-25	5.89621e-25	5.9059797e-25	5.903367e-25	5.916488e-25	5.919513e-25	5.926246e-25	5.9085263e-25	5.908301e-25	5.923602e-25	5.8920504e-25	5.895693e-25	5.906115e-25	5.8809127e-25	5.9036595e-25	5.901273e-25
4629	5.7887998e-21	5.7890647e-21	5.7810983e-21	5.7767774e-21	5.7785626e-21	5.784076e-21	5.7902574e-21	5.7919804e-21	5.785996e-21	5.7793785e-21	5.7854224e-21	5.7827304e-21	5.782289e-21	5.784782e-21	5.7858856e-21	5.7771078e-21	5.7733846e-21	5.788535e-21	5.789727e-21	5.786614e-21	5.7839437e-21	5.785113e-21	5.7783643e-21	5.7767774e-21	5.7838775e-21	5.789396e-21	5.7916492e-21	5.784054e-21	5.787122e-21	5.7805247e-21	5.794544e-21	5.7855985e-21	5.780679e-21	5.78721e-21	5.7856647e-21	5.794522e-21	5.7960473e-21	5.8005596e-21	5.7888882e-21	5.7895946e-21	5.7987453e-21	5.7779454e-21	5.780304e-21	5.7877177e-21	5.7710945e-21	5.7857754e-21	5.784319e-21
845	4.3739791e-16	4.3741126e-16	4.3691598e-16	4.366877e-16	4.3675766e-16	4.3711604e-16	4.3748135e-16	4.375164e-16	4.3717607e-16	4.3681264e-16	4.3716273e-16	4.3700097e-16	4.3699266e-16	4.371644e-16	4.372061e-16	4.3674933e-16	4.3645953e-16	4.3733285e-16	4.3747134e-16	4.3724444e-16	4.3717107e-16	4.3715272e-16	4.3674602e-16	4.3669602e-16	4.37071e-16	4.3742462e-16	4.3753977e-16	4.3705934e-16	4.3727112e-16	4.3689097e-16	4.3768e-16	4.3726445e-16	4.3689263e-16	4.3723944e-16	4.3719108e-16	4.3764993e-16	4.3771672e-16	4.3797061e-16	4.3735787e-16	4.37468e-16	4.3786034e-16	4.36756e-16	4.368593e-16	4.373095e-16	4.363863e-16	4.3717607e-16	4.3712604e-16
1119	9.8653906e-21	9.865617e-21	9.8535055e-21	9.846367e-21	9.849635e-21	9.858243e-21	9.867837e-21	9.870397e-21	9.861101e-21	9.850837e-21	9.8599735e-21	9.855949e-21	9.855122e-21	9.858844e-21	9.860951e-21	9.8465544e-21	9.840021e-21	9.86509e-21	9.86731e-21	9.861628e-21	9.857566e-21	9.8591455e-21	9.849222e-21	9.8466296e-21	9.857792e-21	9.865541e-21	9.8697195e-21	9.858055e-21	9.8629825e-21	9.852566e-21	9.874691e-21	9.860725e-21	9.8528665e-21	9.863058e-21	9.8604614e-21	9.874163e-21	9.876838e-21	9.883773e-21	9.865579e-21	9.866783e-21	9.8811345e-21	9.848057e-21	9.852341e-21	9.863924e-21	9.837656e-21	9.860801e-21	9.85828e-21
