	RSE	RRSE
3	1.3300655	1.1532847
15	1.3884547	1.1783271
44	4.112707	2.027981
4596	4.7280483	2.1744075
1886	10.553018	3.2485409
628	18.59387	4.312061
1991	2.3173323	1.5222787
635	2.5108626	1.5845702
4597	25.295082	5.029422
738	2.1092587	1.4523287
4598	2.5127861	1.5851771
4599	6.25397	2.500794
4600	8.946193	2.9910188
871	6.2759995	2.5051944
4189	4.20892	2.0515652
4601	1.5320153	1.2377461
1424	26.45817	5.1437507
4602	26.430597	5.14107
4603	23.63032	4.8611026
1083	14.187902	3.766683
4604	18.841856	4.3407207
4605	9.035337	3.0058837
4606	8.783644	2.9637213
4607	2.1789956	1.4761422
1848	6.8842506	2.6237855
1989	21.259212	4.610771
4608	4.2607245	2.0641522
3176	10.283705	3.2068217
1520	22.380487	4.730802
4609	3.9172792	1.9792118
4610	7.1220045	2.6687083
4611	9.760356	3.124157
