	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
3	0.8078357	0.85173345	0.73256457	0.77047384	0.77664024	0.7791866	0.7878547	0.700258	0.7977787	0.81059587	0.71807295	0.73479897	0.7649608	0.76483846	0.7616348	0.76795304	0.7799193	0.7358521	0.7237057	0.6875806	0.77841914	0.82079965	0.8064008	0.76950413	0.8706647	0.7869258	0.75130355	0.77228147	0.74314326	0.8150486	0.7764832	0.80393344	0.8011752	0.7467399	0.81201005	0.73426104	0.76289815	0.81201005	0.8300651	0.7454143	0.76289815	0.80141824	0.72411746	0.7754272	0.7695039	0.7404593	0.8266898
15	0.15867667	0.122452445	0.22030666	0.19179653	0.18448855	0.18151867	0.17593125	0.24283256	0.1673659	0.1555022	0.23237413	0.21873015	0.19651815	0.19384019	0.19562611	0.19153537	0.18035413	0.21698406	0.22653957	0.25953585	0.18312225	0.14821507	0.16037922	0.19019563	0.10518173	0.17527628	0.20398323	0.18895112	0.21175149	0.15173721	0.1848018	0.16112584	0.16106303	0.20716363	0.15501651	0.22048575	0.19613317	0.15501651	0.14121923	0.20989884	0.19613317	0.16433038	0.22621648	0.18498325	0.19019593	0.21232244	0.14331013
44	0.012293607	0.009547175	0.017003382	0.013974914	0.014181359	0.014269076	0.013298046	0.020005433	0.0128500955	0.01235344	0.017875057	0.016829286	0.014226521	0.015019614	0.015467261	0.014786153	0.014377137	0.016971713	0.017841646	0.01912987	0.01409795	0.01141817	0.012245927	0.014669868	0.008811004	0.013750077	0.016138263	0.014242617	0.016343247	0.012117579	0.014158115	0.012770724	0.013554359	0.016574513	0.012123065	0.01650381	0.014960614	0.012123065	0.010656849	0.016199626	0.014960614	0.01260571	0.017812828	0.014405314	0.014669895	0.016931986	0.011052234
4596	0.00914512	0.006452993	0.0143743055	0.010719078	0.011123351	0.011266286	0.010144494	0.018315531	0.009586724	0.0092911115	0.015301553	0.014063068	0.011011964	0.012036294	0.012577718	0.011693363	0.011433216	0.014348929	0.015395787	0.016801806	0.010974757	0.00827498	0.009030148	0.011650671	0.0058864215	0.010716662	0.0133471405	0.011135933	0.013532695	0.009042683	0.011057615	0.009655992	0.01059346	0.013804564	0.008927584	0.013643242	0.011909228	0.008927584	0.007436441	0.013347315	0.011909228	0.009428058	0.015359861	0.0114003355	0.011650708	0.014328305	0.007889333
1886	0.0007968277	0.0006709008	0.0009920415	0.00083099114	0.0008770754	0.0008968639	0.000829719	0.0011649138	0.0008139383	0.0008155086	0.0010215689	0.0009821936	0.0008418092	0.00091912167	0.0009477762	0.0009041753	0.0009086179	0.0010025077	0.001038975	0.0010321486	0.0008671925	0.00075298286	0.00078699586	0.00090113335	0.0006624694	0.0008714998	0.00097587716	0.0008608593	0.00096584216	0.00080532744	0.00087189267	0.0008294585	0.0009140815	0.0010088003	0.00079192844	0.0009471897	0.00090374134	0.00079192844	0.0007097275	0.0009614984	0.00090374134	0.0008031676	0.0010376965	0.0008926359	0.00090113527	0.0010174516	0.00074070034
628	0.00087706704	0.00078286865	0.0010130312	0.00088425016	0.0009367305	0.00095542613	0.00089680013	0.0011487575	0.0008875644	0.00090162706	0.0010288901	0.0010039852	0.0008966411	0.0009656267	0.0009900469	0.0009532165	0.0009685179	0.0010253956	0.0010494746	0.001016451	0.0009230226	0.00084378425	0.0008675364	0.00095337763	0.0007902104	0.00093864	0.0010090119	0.0009131333	0.0009948917	0.0008934627	0.0009294465	0.00090558804	0.0009923326	0.0010377709	0.00087502756	0.00097087945	0.00094999094	0.00087502756	0.0008066616	0.0009926935	0.00094999094	0.00087760034	0.0010485621	0.00094949617	0.0009533796	0.0010422688	0.0008371056
1991	0.0039080647	0.0030615344	0.005357068	0.0044158236	0.004500605	0.0045212167	0.004222416	0.0062995995	0.004080834	0.003936681	0.005627083	0.005303267	0.004511784	0.0047516217	0.0048874635	0.0046856427	0.0045584207	0.0053580883	0.0056187054	0.0059633185	0.0044512567	0.003630776	0.0038958173	0.0046512065	0.0028436384	0.004367205	0.005094496	0.0044850083	0.0051529934	0.0038567856	0.004490176	0.0040490385	0.004317694	0.005247867	0.0038545725	0.005181163	0.0047284183	0.0038545725	0.003411245	0.005115417	0.0047284183	0.003996788	0.0056096595	0.0045639323	0.0046512163	0.0053524408	0.003533175
635	0.0015157185	0.0013000165	0.0018436967	0.0015693033	0.0016531744	0.0016845693	0.0015716639	0.002129114	0.0015395385	0.0015520811	0.0018877599	0.0018229033	0.0015946983	0.0017196953	0.0017678149	0.0016916239	0.0017067557	0.0018613604	0.0019199403	0.0018966492	0.0016301968	0.001441297	0.0014970035	0.0016927677	0.0012880941	0.0016443587	0.001814222	0.0016200771	0.0017975741	0.0015338256	0.0016435577	0.0015690816	0.001716828	0.0018654438	0.0015044394	0.0017612283	0.001693184	0.0015044394	0.0013661967	0.0017887128	0.001693184	0.0015234773	0.0019177982	0.0016793379	0.0016927713	0.0018853837	0.0014206265
4597	0.00046104673	0.00040356428	0.00054493593	0.00046736118	0.0004965562	0.00050826353	0.00047294542	0.0006290408	0.00046723298	0.0004737949	0.000556191	0.0005401998	0.00047328856	0.0005152492	0.000530304	0.0005071444	0.0005160441	0.0005521983	0.000567651	0.000552047	0.0004899659	0.00044000443	0.0004545622	0.0005078935	0.0004093328	0.0004968127	0.00054206327	0.0004848641	0.0005340516	0.00046945448	0.00049296836	0.00047841095	0.0005278709	0.000558803	0.00045951232	0.00052051933	0.0005057342	0.00045951232	0.00041818674	0.00053241773	0.0005057342	0.00046174982	0.00056708255	0.00050496496	0.00050789455	0.0005618157	0.0004356363
738	0.001386258	0.0010540714	0.0019742597	0.0015477297	0.0016181988	0.0016449202	0.0015005999	0.0024321552	0.0014364509	0.0014088025	0.0020764924	0.0019431446	0.0015824543	0.0017276176	0.0017898682	0.0016871901	0.0016657773	0.001983111	0.0020934916	0.0022034198	0.0015916029	0.0012738375	0.0013695508	0.0016819363	0.0009944066	0.0015771216	0.0018774251	0.0016011477	0.0018852776	0.0013773285	0.001608286	0.0014511237	0.0015908217	0.0019443552	0.00136189	0.0018790314	0.0017043585	0.00136189	0.0011750038	0.0018707374	0.0017043585	0.0014143167	0.0020895451	0.0016502533	0.0016819406	0.0019933088	0.0012358376
