	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
15	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08	1.52009e-08
44	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.431831e-09	9.431831e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.4318136e-09	9.431831e-09	9.431831e-09	9.431831e-09
4596	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09	4.4418753e-09
1886	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068847e-09	1.9068847e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09	1.9068882e-09
628	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10	6.749345e-10
1991	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09	1.7083979e-09
635	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09	7.0538824e-09
4597	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10	6.5220424e-10
738	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10	5.823384e-10
