	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
3	0.7224839	0.7886924	0.78039324	0.8743641	0.9111299	0.624185	0.6894682	0.8687366	0.6789531	0.89099365	0.8897735	0.7774459	0.8669411	0.83466536	0.7482978	0.69979006	0.58931345	0.7260115	0.5001476	0.64671254	0.79445165	0.63568705	0.90986097	0.8552686	0.7816513	0.739402	0.58767	0.7647393	0.75407875	0.89719594	0.5498666	0.604619	0.8887223	0.74333483	0.8119021	0.3702825	0.8763269	0.83999187	0.8729381	0.69846225	0.8877333	0.86930317	0.84853935	0.7933093	0.6234324	0.75927585	0.72283226
15	0.23447196	0.17907391	0.18336226	0.104707174	0.07410578	0.32328215	0.26698947	0.11105616	0.26781556	0.09142732	0.09192637	0.18853483	0.10851563	0.13538708	0.21366355	0.2394849	0.18360119	0.23439224	0.4374392	0.30388767	0.17354307	0.3000646	0.07478273	0.12161047	0.18377402	0.21790029	0.35384688	0.19860509	0.2085912	0.08666592	0.39115047	0.33908322	0.09369378	0.21649252	0.15879165	0.51396894	0.10286458	0.13366021	0.10687752	0.25962257	0.09239632	0.10533847	0.126227	0.17547734	0.30616948	0.20362397	0.23103493
44	0.016007984	0.012171207	0.013424694	0.0078512225	0.005557883	0.019642321	0.016469706	0.0077064834	0.019332897	0.006654562	0.0068811	0.012816863	0.008987621	0.010958962	0.014295815	0.021029318	0.0534147	0.014972995	0.023402354	0.018556662	0.012040079	0.022796035	0.0057486417	0.008728554	0.012922855	0.015733456	0.021656785	0.013719599	0.014032317	0.006146305	0.022083823	0.020895487	0.00668294	0.014967661	0.011056398	0.03822807	0.0077912477	0.009862401	0.007650505	0.01590941	0.0073650996	0.009182162	0.009433718	0.011821794	0.024490053	0.013915438	0.016892832
4596	0.0127236545	0.008662966	0.010130118	0.0048518	0.0030171596	0.016625015	0.012957983	0.0046290127	0.016812565	0.003831255	0.0040413844	0.009311258	0.0060039256	0.007850491	0.010801662	0.019908141	0.105724305	0.011387372	0.021106463	0.0153157	0.008583961	0.021501636	0.0031744668	0.0055465153	0.009488218	0.01249608	0.019180477	0.010287658	0.010533532	0.003413274	0.019508913	0.018253198	0.0038341063	0.011599895	0.007618572	0.04741326	0.004800467	0.0065987324	0.0046229553	0.012315916	0.0045020236	0.006274943	0.006239763	0.008304	0.024255954	0.010427336	0.013948577
1886	0.0008738549	0.00072590075	0.00081568776	0.0005693541	0.00044253658	0.00091385364	0.0008268368	0.0005338492	0.0010276106	0.0004948723	0.0005171822	0.0007514606	0.00067037606	0.00075905	0.0007997943	0.001254774	0.0049937596	0.00079881604	0.0009094901	0.00088468404	0.00073073304	0.0011816128	0.0004616426	0.0005978158	0.0007766213	0.0009027914	0.00097157765	0.0007951882	0.00079260935	0.0004590704	0.0009203348	0.0009548246	0.0004900785	0.000843924	0.0006913469	0.0015107422	0.00057075854	0.00066398305	0.0005417862	0.0008052568	0.0005670764	0.00070317724	0.00064785325	0.00070695346	0.0012883837	0.00079718925	0.00094653055
628	0.0008950562	0.00079301174	0.000875389	0.0006870633	0.0005731247	0.00087917765	0.00083442085	0.00064463564	0.0010073708	0.0006169078	0.00064115727	0.0008112354	0.0007895436	0.00085628155	0.0008407226	0.0012247859	0.0041833897	0.00082779786	0.0008155128	0.0008642125	0.00080117787	0.0011132252	0.0005941792	0.00070430106	0.0008385829	0.0009305305	0.00090855197	0.0008459678	0.0008369771	0.00058125594	0.0008473906	0.00090301456	0.00061012484	0.000878472	0.00077265344	0.0011888469	0.0006899994	0.00076286454	0.0006559941	0.0008193739	0.00069487165	0.0008262101	0.00075187633	0.0007770057	0.0011975798	0.00084387156	0.00096023537
1991	0.0050660484	0.0038844983	0.00426344	0.0025381143	0.0018197492	0.0061899982	0.005207862	0.0024972006	0.0060903663	0.0021652922	0.0022366426	0.0040825866	0.002887119	0.0034959184	0.004540106	0.0066068433	0.015888061	0.0047553526	0.0073362775	0.005853232	0.0038417904	0.007155613	0.0018820843	0.0028164587	0.0041236016	0.0050099716	0.0068036956	0.0043581566	0.004458084	0.0020059787	0.006926078	0.006561225	0.002174983	0.004747901	0.0035415292	0.0118833	0.0025233927	0.0031699403	0.0024772962	0.0050374884	0.0023891488	0.00294191	0.0030314506	0.0037755945	0.0076766065	0.0044273683	0.005324963
635	0.0016423038	0.001391083	0.0015446253	0.0011156522	0.0008879583	0.0017056491	0.0015620643	0.001053897	0.0018970104	0.0009831045	0.001022674	0.001434956	0.0012911859	0.0014452812	0.0015174497	0.0022712995	0.007874977	0.0015159992	0.0016840571	0.0016575404	0.0013990104	0.002146738	0.00092235894	0.001167014	0.0014781902	0.0016920737	0.0017973733	0.0015098419	0.0015050567	0.0009188196	0.001708361	0.0017712299	0.0009748736	0.0015915858	0.0013311727	0.0026117468	0.0011182254	0.0012827097	0.0010673649	0.0015258457	0.0011106824	0.0013470927	0.0012540327	0.0013584676	0.0023193483	0.00151315	0.0017629325
4597	0.00047678748	0.00041395563	0.0004617186	0.00035119132	0.00028754625	0.00047447666	0.00044333612	0.00032742982	0.0005468464	0.0003118255	0.000325408	0.00042493132	0.00040964223	0.00044861904	0.0004435325	0.00067570753	0.0026028883	0.00043732178	0.0004478418	0.00046403048	0.000418446	0.0006147916	0.00029932678	0.00036132193	0.0004408471	0.000497279	0.0004955596	0.00044553552	0.00044109527	0.00029194306	0.00046213853	0.00049046095	0.00030799521	0.00046620023	0.00040145693	0.00070212065	0.00035298915	0.00039505056	0.00033376602	0.00043401067	0.0003557644	0.00043049591	0.00038843884	0.00040453247	0.0006676109	0.00044496352	0.0005152883
738	0.001758959	0.0013006817	0.0014889953	0.0008381615	0.0005761346	0.0021171619	0.0017468374	0.0007969409	0.0022144832	0.00069190457	0.00072601106	0.0013758686	0.0010095556	0.0012403033	0.0015414151	0.002628592	0.011514459	0.0015943786	0.002468256	0.0019877343	0.0012957754	0.0027110307	0.00060356094	0.00092573283	0.0014103032	0.0017642475	0.0023664793	0.0014913285	0.0015128369	0.0006283566	0.0023498703	0.0022757351	0.00068986305	0.0016412041	0.0011826304	0.0049078045	0.00083472644	0.0010680744	0.0008000669	0.0016776215	0.00080145383	0.0010532029	0.0010218411	0.0012553704	0.0030092213	0.0015077633	0.0019093528
