	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
3	0.9999995	0.9999995	0.9999995	0.99999964	0.99999964	0.99999964	0.9999995	0.99999964	0.9999995	0.99999964	0.99999964	0.9999995	0.99999964	0.99999964	0.9999995	0.99999964	0.9999995	0.9999995	0.9999995	0.9999995	0.9999995	0.9999995	0.99999964	0.99999964	0.99999964	0.99999964	0.9999995	0.9999995	0.9999995	0.99999964	0.9999995	0.9999995	0.99999964	0.9999995	0.9999995	0.9999995	0.9999995	0.9999995	0.99999964	0.9999995	0.9999995	0.99999964	0.99999964	0.99999964	0.99999964	0.9999995	0.9999995
15	4.176293e-07	4.173761e-07	4.1779026e-07	4.1671433e-07	4.1682878e-07	4.1678348e-07	4.1733628e-07	4.1691268e-07	4.1809955e-07	4.169958e-07	4.1709123e-07	4.1762374e-07	4.1689162e-07	4.166865e-07	4.17396e-07	4.1698385e-07	4.1797517e-07	4.1757357e-07	4.1851246e-07	4.1772054e-07	4.1723362e-07	4.1892176e-07	4.1707375e-07	4.166762e-07	4.1722015e-07	4.1718116e-07	4.1812228e-07	4.176628e-07	4.1792217e-07	4.1693696e-07	4.178237e-07	4.1746327e-07	4.168133e-07	4.1734583e-07	4.178588e-07	4.202807e-07	4.1753614e-07	4.1777034e-07	4.171561e-07	4.1725193e-07	4.1772373e-07	4.1660186e-07	4.1716802e-07	4.1700216e-07	4.168113e-07	4.1781178e-07	4.173976e-07
44	9.659291e-09	9.651869e-09	9.6615755e-09	9.6326875e-09	9.63458e-09	9.643957e-09	9.65325e-09	9.6383115e-09	9.6705355e-09	9.6383665e-09	9.6429815e-09	9.656933e-09	9.6373185e-09	9.633202e-09	9.652807e-09	9.648943e-09	9.6783594e-09	9.657927e-09	9.686485e-09	9.6624415e-09	9.648463e-09	9.6902735e-09	9.643148e-09	9.633661e-09	9.6491455e-09	9.667862e-09	9.673838e-09	9.658664e-09	9.66552e-09	9.63708e-09	9.6688755e-09	9.657707e-09	9.634635e-09	9.648096e-09	9.661999e-09	9.731225e-09	9.652292e-09	9.659309e-09	9.643258e-09	9.650912e-09	9.656343e-09	9.63006e-09	9.6453e-09	9.642136e-09	9.646275e-09	9.6614095e-09	9.653895e-09
4596	1.6801417e-08	1.6787324e-08	1.680443e-08	1.6752557e-08	1.6754795e-08	1.6777115e-08	1.6791166e-08	1.676205e-08	1.6821748e-08	1.6760834e-08	1.6771324e-08	1.6796035e-08	1.6761378e-08	1.6754091e-08	1.6789533e-08	1.6790528e-08	1.6843707e-08	1.6798918e-08	1.6851356e-08	1.680725e-08	1.6781529e-08	1.6855374e-08	1.6772061e-08	1.675537e-08	1.6784798e-08	1.6835038e-08	1.682823e-08	1.6799431e-08	1.6811612e-08	1.6758982e-08	1.6820817e-08	1.6799751e-08	1.6754923e-08	1.6779511e-08	1.6804174e-08	1.6934097e-08	1.6786267e-08	1.6799655e-08	1.6770525e-08	1.6787196e-08	1.6793344e-08	1.6748563e-08	1.6775772e-08	1.6770077e-08	1.6787647e-08	1.6802923e-08	1.6794496e-08
1886	8.2571366e-11	8.2488884e-11	8.259972e-11	8.2273945e-11	8.2290896e-11	8.240744e-11	8.2507765e-11	8.23336e-11	8.26973e-11	8.233093e-11	8.238968e-11	8.254523e-11	8.232637e-11	8.228132e-11	8.2497856e-11	8.248449e-11	8.284365e-11	8.255216e-11	8.287684e-11	8.260996e-11	8.245192e-11	8.2912094e-11	8.238983e-11	8.228697e-11	8.246247e-11	8.27295e-11	8.273705e-11	8.256648e-11	8.264006e-11	8.231899e-11	8.268468e-11	8.255782e-11	8.229136e-11	8.244657e-11	8.25972e-11	8.3382315e-11	8.24818e-11	8.25668e-11	8.2388735e-11	8.248227e-11	8.2526805e-11	8.224711e-11	8.241592e-11	8.238041e-11	8.2459484e-11	8.258192e-11	8.252288e-11
628	2.4164595e-10	2.4139765e-10	2.4169802e-10	2.4077917e-10	2.408173e-10	2.4123795e-10	2.4146993e-10	2.409501e-10	2.4200342e-10	2.4092572e-10	2.4110638e-10	2.4154687e-10	2.4093125e-10	2.4080812e-10	2.4143448e-10	2.414557e-10	2.424289e-10	2.4159846e-10	2.425436e-10	2.417566e-10	2.4129682e-10	2.425991e-10	2.411156e-10	2.4083338e-10	2.4134655e-10	2.4221586e-10	2.4212946e-10	2.4160998e-10	2.4182345e-10	2.4089172e-10	2.4200109e-10	2.4162705e-10	2.408228e-10	2.4125726e-10	2.4168928e-10	2.4400523e-10	2.4136496e-10	2.4160537e-10	2.4109398e-10	2.4139996e-10	2.4148697e-10	2.4070662e-10	2.4118552e-10	2.410935e-10	2.4140734e-10	2.4166577e-10	2.4151048e-10
1991	2.4922675e-10	2.4897684e-10	2.4930424e-10	2.4835128e-10	2.483977e-10	2.4873337e-10	2.4903382e-10	2.485214e-10	2.496159e-10	2.485086e-10	2.4868546e-10	2.491469e-10	2.485086e-10	2.483726e-10	2.490115e-10	2.4894029e-10	2.5002855e-10	2.4917304e-10	2.5011107e-10	2.4932897e-10	2.488624e-10	2.5022986e-10	2.4868307e-10	2.4838348e-10	2.4890043e-10	2.4961927e-10	2.4971067e-10	2.4920915e-10	2.4942173e-10	2.4847968e-10	2.4955496e-10	2.4918018e-10	2.4839816e-10	2.4884342e-10	2.4930236e-10	2.5165717e-10	2.4897162e-10	2.4921773e-10	2.486883e-10	2.4896116e-10	2.491065e-10	2.48275e-10	2.4876848e-10	2.4866267e-10	2.4887192e-10	2.4925384e-10	2.4907373e-10
635	3.400365e-10	3.3969683e-10	3.4011824e-10	3.3886338e-10	3.3891898e-10	3.394242e-10	3.3978498e-10	3.3908903e-10	3.405272e-10	3.3906575e-10	3.3931158e-10	3.3991332e-10	3.3907543e-10	3.38897e-10	3.3975384e-10	3.3975195e-10	3.4108427e-10	3.3998399e-10	3.4123326e-10	3.4017014e-10	3.395556e-10	3.4133288e-10	3.3932973e-10	3.389248e-10	3.3963599e-10	3.4073905e-10	3.4067335e-10	3.3999564e-10	3.4028566e-10	3.3902436e-10	3.404973e-10	3.3999242e-10	3.3892156e-10	3.395161e-10	3.4010916e-10	3.432209e-10	3.3968905e-10	3.400002e-10	3.3929995e-10	3.39691e-10	3.3985756e-10	3.3876904e-10	3.39421e-10	3.3928182e-10	3.3968006e-10	3.4008907e-10	3.3987507e-10
4597	1.8630261e-10	1.8612005e-10	1.8636374e-10	1.8565206e-10	1.8568853e-10	1.8593556e-10	1.8616265e-10	1.8577959e-10	1.8657928e-10	1.8577605e-10	1.8590222e-10	1.8624682e-10	1.8577144e-10	1.8566977e-10	1.861449e-10	1.8612858e-10	1.868813e-10	1.8626743e-10	1.8696829e-10	1.8638223e-10	1.860409e-10	1.8704284e-10	1.8589869e-10	1.8568251e-10	1.8607428e-10	1.8656328e-10	1.8666114e-10	1.8629266e-10	1.8645298e-10	1.857523e-10	1.8655044e-10	1.8627241e-10	1.8568926e-10	1.8603204e-10	1.8635948e-10	1.8807671e-10	1.861133e-10	1.8629266e-10	1.8590542e-10	1.861087e-10	1.8621096e-10	1.8559647e-10	1.859618e-10	1.8588485e-10	1.8607925e-10	1.8633317e-10	1.8620243e-10
738	8.333228e-10	8.3264595e-10	8.3366775e-10	8.3082646e-10	8.3104357e-10	8.315573e-10	8.3270946e-10	8.313527e-10	8.3441065e-10	8.31413e-10	8.318492e-10	8.33194e-10	8.3126234e-10	8.3084545e-10	8.3270313e-10	8.3200946e-10	8.3528806e-10	8.331543e-10	8.3584906e-10	8.3360097e-10	8.3229823e-10	8.363609e-10	8.3186985e-10	8.308233e-10	8.3225865e-10	8.340416e-10	8.346701e-10	8.33353e-10	8.339954e-10	8.313036e-10	8.341258e-10	8.330828e-10	8.310198e-10	8.3234425e-10	8.3369955e-10	8.4011975e-10	8.3275076e-10	8.334372e-10	8.318952e-10	8.324745e-10	8.3317336e-10	8.3057766e-10	8.320571e-10	8.316842e-10	8.316604e-10	8.3355645e-10	8.328413e-10
4598	6.271239e-10	6.2649386e-10	6.2723876e-10	6.249162e-10	6.2498295e-10	6.2621913e-10	6.2671374e-10	6.2534183e-10	6.2804323e-10	6.252464e-10	6.257356e-10	6.268536e-10	6.2530486e-10	6.250056e-10	6.2658345e-10	6.2686684e-10	6.2936106e-10	6.269911e-10	6.294103e-10	6.274326e-10	6.262382e-10	6.295015e-10	6.2572364e-10	6.2509736e-10	6.264138e-10	6.287492e-10	6.283799e-10	6.270246e-10	6.275463e-10	6.251677e-10	6.2807554e-10	6.2711675e-10	6.2500793e-10	6.261068e-10	6.271897e-10	6.3315736e-10	6.2632777e-10	6.269732e-10	6.2568783e-10	6.2654043e-10	6.266277e-10	6.2473265e-10	6.2594085e-10	6.257356e-10	6.267772e-10	6.270868e-10	6.267867e-10
4599	3.8056922e-11	3.802072e-11	3.8073548e-11	3.792555e-11	3.7936335e-11	3.796833e-11	3.8024636e-11	3.795305e-11	3.8115185e-11	3.7955368e-11	3.797854e-11	3.8048866e-11	3.794856e-11	3.7926492e-11	3.8024056e-11	3.799419e-11	3.8160503e-11	3.8048287e-11	3.819021e-11	3.8071733e-11	3.8002813e-11	3.8216732e-11	3.7979554e-11	3.792671e-11	3.8002598e-11	3.809651e-11	3.8128636e-11	3.805736e-11	3.8090836e-11	3.7949574e-11	3.8099992e-11	3.8045022e-11	3.793539e-11	3.800397e-11	3.8075293e-11	3.841962e-11	3.802594e-11	3.8062005e-11	3.798057e-11	3.8012527e-11	3.8047995e-11	3.791239e-11	3.7989552e-11	3.7970717e-11	3.7977094e-11	3.8068323e-11	3.803022e-11
4600	2.0112595e-10	2.009143e-10	2.0117967e-10	2.0039077e-10	2.0042136e-10	2.0076149e-10	2.0097447e-10	2.005311e-10	2.0144038e-10	2.0051351e-10	2.006696e-10	2.0104847e-10	2.0052307e-10	2.0041256e-10	2.0094726e-10	2.0098447e-10	2.0185538e-10	2.0108722e-10	2.0187693e-10	2.0121842e-10	2.008258e-10	2.0194048e-10	2.0067152e-10	2.0043626e-10	2.0088138e-10	2.0158031e-10	2.0153453e-10	2.0110331e-10	2.012806e-10	2.0048789e-10	2.0142193e-10	2.0110523e-10	2.0042557e-10	2.0080206e-10	2.0116854e-10	2.0314386e-10	2.0089246e-10	2.0109871e-10	2.0066157e-10	2.0091699e-10	2.0099901e-10	2.0032886e-10	2.0073813e-10	2.0065659e-10	2.0094422e-10	2.0114167e-10	2.0102661e-10
871	4.335267e-11	4.3308204e-11	4.3367802e-11	4.319404e-11	4.3203677e-11	4.3258678e-11	4.3317787e-11	4.3225274e-11	4.342003e-11	4.3225194e-11	4.3255788e-11	4.333977e-11	4.3223376e-11	4.3198077e-11	4.33144e-11	4.330185e-11	4.3482103e-11	4.3344234e-11	4.3514213e-11	4.3371525e-11	4.328855e-11	4.35343e-11	4.325587e-11	4.319997e-11	4.3295163e-11	4.3416805e-11	4.3439412e-11	4.335027e-11	4.3390392e-11	4.3219338e-11	4.341183e-11	4.334407e-11	4.3203434e-11	4.328756e-11	4.336772e-11	4.378337e-11	4.330837e-11	4.3351676e-11	4.3256863e-11	4.3304568e-11	4.333258e-11	4.3180695e-11	4.327031e-11	4.325051e-11	4.3289382e-11	4.3361766e-11	4.3328695e-11
4189	3.4602762e-10	3.457281e-10	3.4615372e-10	3.4496211e-10	3.4505226e-10	3.4528466e-10	3.457591e-10	3.451826e-10	3.4649522e-10	3.451971e-10	3.453861e-10	3.4595965e-10	3.4515035e-10	3.4497394e-10	3.4576503e-10	3.4544012e-10	3.4679604e-10	3.459656e-10	3.470945e-10	3.461253e-10	3.4557845e-10	3.4730047e-10	3.4540387e-10	3.4495684e-10	3.455706e-10	3.4626998e-10	3.4658842e-10	3.4602432e-10	3.4629502e-10	3.4515824e-10	3.4636835e-10	3.4592074e-10	3.450404e-10	3.4557385e-10	3.4617484e-10	3.489365e-10	3.4579473e-10	3.460705e-10	3.4541048e-10	3.4565956e-10	3.4597153e-10	3.448621e-10	3.4548295e-10	3.453255e-10	3.452965e-10	3.4613257e-10	3.457934e-10
4601	9.234072e-11	9.2242665e-11	9.236608e-11	9.200002e-11	9.201634e-11	9.216107e-11	9.2267124e-11	9.206602e-11	9.248719e-11	9.2058826e-11	9.213049e-11	9.230585e-11	9.206128e-11	9.200914e-11	9.225762e-11	9.225147e-11	9.265104e-11	9.232258e-11	9.268639e-11	9.238035e-11	9.2200275e-11	9.2722816e-11	9.213418e-11	9.201669e-11	9.222103e-11	9.254543e-11	9.252778e-11	9.232997e-11	9.241348e-11	9.204706e-11	9.247255e-11	9.232627e-11	9.201704e-11	9.2189194e-11	9.2363964e-11	9.327643e-11	9.223862e-11	9.233243e-11	9.212751e-11	9.2239494e-11	9.22893e-11	9.197177e-11	9.2162125e-11	9.2121706e-11	9.222913e-11	9.235199e-11	9.228965e-11
1424	2.4806327e-11	2.4780034e-11	2.4814751e-11	2.4710374e-11	2.4715277e-11	2.4757174e-11	2.478703e-11	2.4729706e-11	2.4845867e-11	2.4729045e-11	2.4747872e-11	2.4797575e-11	2.472749e-11	2.4713015e-11	2.478306e-11	2.4787792e-11	2.4893301e-11	2.4800887e-11	2.4905982e-11	2.4820241e-11	2.4768977e-11	2.4915105e-11	2.4747494e-11	2.4716597e-11	2.4774413e-11	2.4862414e-11	2.4860515e-11	2.4804435e-11	2.4828764e-11	2.4724613e-11	2.484454e-11	2.4803725e-11	2.471603e-11	2.4767844e-11	2.4813615e-11	2.5064865e-11	2.4775971e-11	2.4803536e-11	2.4746975e-11	2.477923e-11	2.4789915e-11	2.4701562e-11	2.4755946e-11	2.474537e-11	2.4781456e-11	2.480983e-11	2.4794077e-11
4602	5.817805e-11	5.811173e-11	5.819303e-11	5.794483e-11	5.795312e-11	5.8071183e-11	5.81339e-11	5.7989277e-11	5.8271894e-11	5.7982643e-11	5.803376e-11	5.815198e-11	5.7987067e-11	5.7953784e-11	5.812237e-11	5.8149655e-11	5.8412324e-11	5.8166954e-11	5.8419346e-11	5.8209125e-11	5.80858e-11	5.842781e-11	5.803531e-11	5.796274e-11	5.8105642e-11	5.83512e-11	5.830769e-11	5.8169726e-11	5.8226673e-11	5.7974237e-11	5.8277445e-11	5.8176384e-11	5.795511e-11	5.8077047e-11	5.818726e-11	5.880346e-11	5.8099095e-11	5.816407e-11	5.8029e-11	5.8115943e-11	5.8130577e-11	5.7926598e-11	5.8055016e-11	5.803077e-11	5.814145e-11	5.8181602e-11	5.8154974e-11
4603	2.0817836e-10	2.0795572e-10	2.0822839e-10	2.0740475e-10	2.0743798e-10	2.0781024e-10	2.08018e-10	2.0755632e-10	2.0851257e-10	2.0753732e-10	2.0769295e-10	2.0809261e-10	2.0754128e-10	2.0742691e-10	2.0798825e-10	2.0801645e-10	2.0890467e-10	2.0813548e-10	2.0897083e-10	2.0828043e-10	2.0786055e-10	2.0904617e-10	2.0769096e-10	2.07455e-10	2.079153e-10	2.086009e-10	2.08614e-10	2.0814978e-10	2.0833685e-10	2.0750565e-10	2.084887e-10	2.0815812e-10	2.0744471e-10	2.0783597e-10	2.0822244e-10	2.1031517e-10	2.0793113e-10	2.081482e-10	2.076874e-10	2.0795651e-10	2.0804221e-10	2.0733514e-10	2.0776506e-10	2.0768581e-10	2.0797043e-10	2.0819504e-10	2.0804936e-10
