	RSE	RRSE
2	12.960768	3.6001067
6	4.8618326	2.2049563
7	7.2299037	2.688848
16	4.814734	2.19425
18	4.330026	2.0808716
20	3.9299307	1.9824053
23	2.736168	1.6541367
24	26.241123	5.122609
32	27.294685	5.2244315
35	1.4534144	1.2055764
39	9.905801	3.1473482
45	28.02249	5.2936273
47	11.842475	3.4412897
48	4.1579146	2.0390966
49	6.9431014	2.6349766
51	22.81364	4.776363
54	17.324629	4.1622863
57	33.104675	5.7536664
60	1.9161458	1.3842492
61	71.10677	8.432484
71	39.975643	6.3226295
73	26.848375	5.181542
77	53.77754	7.333317
79	17.279818	4.1569
82	23.549597	4.8527927
83	9.933571	3.1517568
84	22.399155	4.7327747
86	2.1957562	1.4818084
89	33.806904	5.8143706
90	15.21589	3.900755
91	9.106855	3.0177567
92	40.6088	6.3725033
96	15.7344885	3.9666722
102	18.822361	4.3384743
105	14.815618	3.849106
107	45.228386	6.7252054
113	12.201067	3.4930027
119	9.999298	3.1621666
120	30.39292	5.5129776
121	58.118	7.623516
123	3.012293	1.735596
124	4.3755374	2.0917785
126	12.212406	3.4946253
127	63.395176	7.9621086
128	42.232113	6.498624
130	6.698672	2.5881793
134	50.232346	7.087478
135	6.5830116	2.565738
136	8.501654	2.9157596
140	31.459063	5.608838
143	11.328049	3.3657167
144	13.907687	3.7293012
146	8.919166	2.9864972
149	24.534647	4.953246
150	25.228985	5.022846
152	18.067024	4.250532
153	52.15755	7.2220182
155	31.197987	5.585516
159	14.595465	3.8204012
160	4.221769	2.0546944
162	51.498646	7.1762557
164	3.3591084	1.832787
165	44.11163	6.641659
166	41.44811	6.4380207
171	20.648163	4.544025
173	4.427107	2.1040692
176	64.94208	8.058664
180	3.2326365	1.7979534
182	38.54969	6.20884
186	6.666515	2.5819595
188	12.880616	3.5889575
190	32.093483	5.665111
191	26.719238	5.1690655
192	4.3608847	2.088273
193	18.823225	4.338574
195	3.111724	1.7640079
196	10.675116	3.2672796
198	12.729201	3.5678005
201	27.99734	5.291251
202	10.711718	3.272876
203	24.698233	4.969732
206	47.03458	6.858176
207	24.826742	4.982644
208	2.2865162	1.5121231
209	73.168335	8.553849
210	16.665926	4.082392
211	32.729736	5.7209907
212	4.72188	2.1729887
215	2.7917829	1.6708629
219	40.354027	6.352482
221	22.356709	4.728288
229	42.282845	6.502526
230	17.913195	4.232398
232	28.433014	5.3322616
233	18.285448	4.276149
234	4.283228	2.069596
236	26.340826	5.1323314
237	1.7247297	1.3132896
239	65.00763	8.062731
245	13.326768	3.6505847
247	62.80003	7.924647
249	210.73164	14.516599
257	13.464872	3.6694512
262	16.395222	4.0491014
263	60.63401	7.786784
266	17.202686	4.147612
267	81.174164	9.00967
269	31.119364	5.578473
275	211.76152	14.552028
278	8.3566475	2.8907866
281	31.992714	5.6562104
283	55.733677	7.465499
284	16.04995	4.006239
285	26.890846	5.1856384
286	6.8459344	2.6164737
287	5.0861773	2.2552555
288	161.37215	12.703234
289	38.75738	6.2255425
291	7.4936233	2.7374482
293	11.864412	3.4444757
294	38.829456	6.2313285
295	0.5535553	0.74401295
297	3.5782664	1.8916306
299	4.766508	2.1832335
300	32.960022	5.7410817
301	2.9186485	1.7084053
304	5.088793	2.2558353
306	2.8625937	1.6919202
307	38.888927	6.236099
311	14.222246	3.7712393
312	17.623241	4.1980042
314	5.02156	2.2408838
315	17.516582	4.1852818
317	17.244555	4.1526566
321	10.514644	3.242629
322	20.167149	4.4907846
323	20.115686	4.4850516
326	37.215343	6.100438
327	22.606695	4.7546496
328	84.99567	9.21931
329	94.97357	9.745439
330	25.931429	5.0922914
333	92.786316	9.6325655
334	21.666618	4.6547413
339	43.285313	6.5791574
340	3.0125177	1.7356606
341	8.040379	2.835556
343	7.6958294	2.7741358
347	1.6734239	1.2936089
348	32.934143	5.7388277
350	43.166027	6.570086
355	100.360855	10.018026
360	46.675213	6.831926
361	4.52724	2.127731
363	14.381642	3.7923136
364	7.267754	2.6958773
367	33.63051	5.799182
372	17.755247	4.2136974
373	11.61415	3.407954
379	29.905537	5.4685955
382	16.63172	4.0782003
385	4.487835	2.118451
387	84.53579	9.194335
391	55.27443	7.4346776
392	87.85805	9.373262
393	40.75685	6.3841095
394	25.248957	5.024834
395	67.958565	8.243698
396	56.29657	7.503104
398	6.885424	2.6240091
401	13.242492	3.6390235
402	48.554054	6.968074
404	22.794094	4.7743163
407	5.006596	2.2375424
411	16.67623	4.083654
420	29.06277	5.39099
421	14.131186	3.759147
422	26.888111	5.1853747
426	19.065079	4.366358
428	247.32294	15.726504
429	6.0135837	2.452261
432	20.595297	4.538204
433	24.519674	4.9517345
436	42.235424	6.4988785
440	6.244991	2.498998
441	26.078817	5.1067424
442	48.86325	6.9902253
443	60.069145	7.7504287
446	277.8809	16.66976
450	34.493626	5.8731275
452	46.330254	6.806633
453	4.3976445	2.0970562
454	85.21284	9.23108
456	34.814777	5.900405
457	46.71955	6.8351703
458	33.0853	5.751982
460	20.692696	4.5489225
462	51.211258	7.156204
464	18.022955	4.245345
465	25.997341	5.0987587
466	44.45072	6.6671376
467	11.182517	3.344027
472	14.451783	3.8015501
474	103.862564	10.1912985
476	16.981087	4.1208115
477	20.580568	4.536581
481	8.209033	2.865141
486	47.733963	6.908977
489	26.764816	5.1734724
491	41.160946	6.4156795
493	72.71185	8.527124
495	7.4420767	2.728017
496	9.094924	3.0157793
498	47.797688	6.913587
499	68.35443	8.2676735
501	47.818752	6.9151106
503	21.856562	4.6751003
505	16.489902	4.060776
506	29.240765	5.407473
507	9.950384	3.154423
508	57.09352	7.5560255
513	444.33377	21.079226
517	11.473117	3.387199
521	46.094727	6.7893095
523	39.835396	6.3115287
524	98.99715	9.949731
526	55.39188	7.442572
527	4.4138393	2.100914
528	42.591167	6.5261908
530	18.23889	4.2707014
533	13.606467	3.6886945
536	48.950718	6.996479
537	30.393501	5.51303
543	8.54429	2.9230616
544	47.04864	6.8592014
545	35.72423	5.976975
549	15.286955	3.9098535
551	21.772564	4.666108
555	17.55461	4.189822
556	30.631453	5.534569
558	47.02712	6.857632
561	63.888393	7.9930215
563	31.96759	5.653989
567	44.99136	6.70756
569	15.140087	3.8910265
572	32.163174	5.6712584
577	401.98657	20.049603
579	2.5774941	1.6054577
580	29.819935	5.460763
581	52.025784	7.21289
587	27.15364	5.2109156
588	1.7314304	1.3158383
589	76.32539	8.736441
590	60.18739	7.7580533
596	2.6483493	1.627375
602	77.54361	8.805885
603	34.14093	5.8430243
605	34.832863	5.901937
606	20.971703	4.5794873
607	28.197031	5.3100877
609	30.77673	5.547678
617	47.571297	6.897195
618	29.21326	5.404929
621	65.43161	8.088981
623	26.334122	5.131678
624	45.056004	6.712377
627	6.1260285	2.4750814
636	50.321148	7.09374
640	81.891495	9.049392
642	42.719387	6.536007
644	73.08572	8.549019
645	18.279957	4.2755065
648	29.036	5.3885064
650	18.31316	4.279388
652	16.340527	4.0423417
654	37.181255	6.0976434
655	35.52457	5.9602494
656	49.944107	7.0671144
657	38.737465	6.2239428
658	82.20211	9.066538
662	55.172127	7.427794
664	47.17128	6.868135
669	123.123116	11.096086
675	55.896477	7.4763947
677	32.510647	5.701811
679	34.99835	5.9159403
682	37.94762	6.160164
687	14.779055	3.8443537
688	110.12506	10.494049
691	13.999617	3.7416062
695	26.232689	5.1217856
696	50.505028	7.106689
699	35.02587	5.918266
700	55.173874	7.4279118
702	87.50909	9.3546295
703	96.26346	9.811395
706	20.654026	4.54467
707	189.2767	13.757787
708	83.22913	9.123
710	38.289715	6.1878686
711	33.976044	5.8288975
712	1.5534674	1.2463818
714	23.228844	4.819631
715	38.633934	6.21562
716	38.5429	6.208293
717	109.53127	10.465719
718	53.89611	7.341397
719	89.99559	9.486601
720	59.169765	7.6921887
721	78.00209	8.83188
722	20.109226	4.484331
728	21.032907	4.586165
729	163.84538	12.80021
731	33.88854	5.8213863
735	17.453138	4.1776953
736	42.758553	6.5390024
747	138.40794	11.76469
