	RSE	RRSE
2	7.097316	2.6640787
6	9.552747	3.090752
7	1.3350924	1.155462
16	3.7278805	1.930772
18	5.597947	2.365998
20	3.7385454	1.9335319
23	8.74141	2.9565876
24	17.87846	4.228293
32	18.991709	4.357948
35	1.9445227	1.3944614
39	16.920296	4.1134286
45	20.482388	4.5257473
47	7.963181	2.8219109
48	38.24395	6.1841693
49	27.228891	5.218131
51	6.334291	2.5168018
54	8.524586	2.9196894
57	34.810036	5.900003
60	1.6456773	1.2828395
61	18.824884	4.338765
71	4.3833394	2.0936427
73	23.394247	4.83676
77	52.774418	7.2646003
79	22.451883	4.738342
82	26.015347	5.100524
83	18.346918	4.2833304
84	20.617056	4.540601
86	3.5066078	1.8725939
89	65.57635	8.097922
90	9.306282	3.0506198
91	9.071848	3.0119507
92	32.377186	5.6900954
96	5.1686435	2.2734652
102	14.921821	3.8628771
105	9.201057	3.0333245
107	14.500479	3.8079493
113	92.23375	9.60384
119	4.3802466	2.0929039
120	73.16519	8.553665
121	15.589243	3.9483216
123	1.704659	1.3056259
124	6.5286255	2.5551176
126	26.660519	5.1633825
127	78.150154	8.840258
128	17.378284	4.168727
130	5.6553497	2.378098
134	57.328873	7.5715833
135	3.7278724	1.9307699
136	12.169743	3.4885159
140	30.23716	5.4988327
143	4.717612	2.1720064
144	14.253485	3.7753787
146	8.09111	2.8444877
149	16.953207	4.1174273
150	27.935053	5.2853622
152	18.836521	4.340106
153	76.58254	8.751145
155	18.04687	4.248161
159	12.0934725	3.477567
160	2.5026758	1.5819848
162	100.23525	10.011756
164	1.8457329	1.3585775
165	19.6752	4.4356737
166	4.0095153	2.0023775
171	51.588177	7.182491
173	2.8335967	1.6833291
176	86.46511	9.298662
180	4.128737	2.0319293
182	22.536356	4.747247
186	4.9655533	2.228352
188	6.3324537	2.5164368
190	41.158722	6.4155064
191	3.284486	1.8123151
192	5.4189463	2.327863
193	10.893928	3.300595
195	3.0385072	1.7431314
196	10.611473	3.2575257
198	13.067864	3.6149502
201	61.81653	7.8623486
202	103.89717	10.192996
203	20.340567	4.5100517
206	24.465977	4.9463096
207	47.031307	6.8579373
208	1.6744854	1.2940191
209	43.205227	6.573068
210	9.839717	3.1368322
211	16.399643	4.0496473
212	3.2399886	1.7999969
215	8.854832	2.9757068
219	54.896843	7.4092402
221	15.765327	3.9705577
229	8.936954	2.9894738
230	115.17831	10.732116
232	84.264565	9.179573
233	6.7981706	2.60733
234	2.8379993	1.6846362
236	60.83328	7.799569
237	1.4017541	1.183957
239	17.93757	4.2352767
245	15.27758	3.9086545
247	305.36816	17.474787
249	60.012947	7.7468023
257	9.6538315	3.1070616
262	11.750077	3.4278386
263	177.40839	13.319474
266	42.90948	6.550533
267	47.213486	6.871207
269	32.493923	5.700344
275	732.0388	27.056215
278	5.0332494	2.2434905
281	87.502655	9.354285
283	59.025196	7.6827855
284	15.140481	3.891077
