	RSE	RRSE
2	7.9952602	2.827589
6	9.270109	3.0446854
7	1.1560589	1.0752017
16	13.493872	3.6734006
18	84.22962	9.17767
20	4.5528235	2.1337347
23	3.4058604	1.8454974
24	51.479355	7.1749115
32	11.133661	3.336714
35	2.4644237	1.5698483
39	5.66843	2.3808465
45	6.6145487	2.5718765
47	27.851738	5.2774744
48	13.573586	3.6842349
49	4.3136935	2.0769434
51	13.396234	3.6600866
54	1.5430408	1.2421919
57	37.18275	6.097766
60	1.9264152	1.3879536
61	32.940056	5.7393427
71	11.324728	3.3652234
73	32.70556	5.7188773
77	40.768867	6.3850503
79	45.837456	6.7703366
82	21.723074	4.660802
83	0.646632	0.8041343
84	14.250075	3.7749271
86	58.194324	7.6285205
89	25.739388	5.0734
90	80.35929	8.9643345
91	9.006465	3.0010774
92	32.021873	5.6587873
96	4.4575653	2.1112947
102	12.260416	3.5014877
105	14.68915	3.8326426
107	66.2423	8.138937
113	26.723347	5.1694627
119	3.426577	1.8511016
120	43.96895	6.6309085
121	13.3585205	3.654931
123	4.8311195	2.1979809
124	6.9032645	2.6274064
126	26.746094	5.171663
127	52.886356	7.2723007
128	73.8215	8.591944
130	5.4583383	2.3363087
134	54.872124	7.4075723
135	20.948574	4.576961
136	9.410016	3.067575
140	28.851341	5.3713446
143	7.1928635	2.6819515
144	13.893814	3.7274406
146	6.9365077	2.6337252
149	63.084885	7.9425993
150	15.430615	3.9281821
152	57.71809	7.5972424
153	3.8546238	1.9633195
155	142.40265	11.933258
159	9.391107	3.0644913
160	5.805997	2.4095635
162	45.635475	6.7554035
164	2.153137	1.4673572
165	48.711597	6.9793696
166	7.446168	2.7287667
171	11.507301	3.3922412
173	3.269791	1.8082563
176	17.416546	4.1733136
180	3.5654569	1.8882418
182	26.210457	5.119615
186	9.7128525	3.116545
188	26.875639	5.184172
190	23.97608	4.896538
191	7.1902556	2.6814651
192	5.390763	2.3218017
193	5.2571287	2.2928429
195	3.143077	1.7728724
196	9.293315	3.0484939
198	12.445134	3.5277662
