	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
2	0.19500627	0.13970143	0.1893119	0.18686453	0.16434889	0.18906188	0.1997066	0.13077584	0.17365421	0.16190788	0.14881954	0.18499412	0.11579518	0.17678115	0.20377077	0.1450341	0.18771347	0.17916912	0.18692093	0.16560477	0.15577787	0.17308626	0.16947511	0.19911371	0.182904	0.16493715	0.15428068	0.18354549	0.17778914	0.13727352	0.15527245	0.19350334	0.13303138	0.15021619	0.097818054	0.16729978	0.07170282	0.097818054	0.15715142	0.1863718	0.07170282	0.18787678	0.18692093	0.19366908	0.19694535	0.1995373	0.15662341
6	0.120025784	0.18224707	0.05717778	0.08161866	0.13780051	0.18021624	0.102708496	0.20770901	0.11931389	0.19646929	0.2086206	0.10924885	0.18839318	0.0636143	0.085710205	0.07550286	0.1286907	0.0953321	0.11324709	0.20073304	0.07491245	0.1363633	0.15741512	0.062432412	0.19978455	0.13629492	0.15360996	0.10998518	0.11730455	0.30619442	0.07587904	0.13714527	0.24672277	0.12497302	0.2018351	0.09283117	0.050315518	0.2018351	0.14235827	0.18026607	0.050315518	0.12903263	0.11324709	0.10690151	0.08841015	0.09075545	0.13313223
7	0.020987293	0.090120226	0.015570037	0.02647905	0.03521378	0.026263159	0.007241885	0.025213286	0.030539555	0.014120217	0.029607674	0.016245091	0.005405922	0.011521327	0.014685326	0.018122617	0.025295883	0.036092587	0.029419616	0.01664632	0.018897627	0.015023545	0.025844468	0.021067645	0.011567371	0.024594583	0.04228256	0.015106637	0.015356784	0.02375355	0.008160335	0.022303702	0.033672333	0.060168203	0.011448523	0.015468613	0.18014999	0.011448523	0.014146379	0.037827574	0.18014999	0.021828204	0.029419616	0.014097934	0.027161771	0.014141485	0.060027607
16	0.05702491	0.048208565	0.067622915	0.07305709	0.060333367	0.050989002	0.04924949	0.047613524	0.06367588	0.041861605	0.042643398	0.057655413	0.04184656	0.07340907	0.057940263	0.08147633	0.059710655	0.06367823	0.056592867	0.043406732	0.07352029	0.052270826	0.053844288	0.06720556	0.04196646	0.059662648	0.057882365	0.059286512	0.05721696	0.030360429	0.06524899	0.053619307	0.041732796	0.06188995	0.056639828	0.06573275	0.12128501	0.056639828	0.054492958	0.041077342	0.12128501	0.055281594	0.056592867	0.059416592	0.064015135	0.05904557	0.059698384
18	0.041377906	0.026758218	0.055044603	0.049462516	0.04365412	0.040926598	0.10685475	0.04234627	0.03691258	0.053313095	0.030539345	0.047076322	0.07075571	0.050029807	0.071233734	0.046688695	0.04805784	0.038580433	0.039528254	0.04236618	0.04096735	0.05539118	0.043164954	0.052103557	0.06647835	0.046273604	0.03252644	0.055120833	0.05028235	0.032360785	0.051677153	0.042376317	0.036179606	0.028435355	0.08663565	0.046103373	0.0351592	0.08663565	0.045111403	0.028118158	0.0351592	0.041226197	0.039528254	0.061148	0.04579165	0.06755141	0.026506096
20	0.03179307	0.026911503	0.055223964	0.036077987	0.033002604	0.028148606	0.063846305	0.02380687	0.029684635	0.02902495	0.020443777	0.03455222	0.022316454	0.031276632	0.06583579	0.027033744	0.03916585	0.043093584	0.04122145	0.024662921	0.028187966	0.033481374	0.028791891	0.061992705	0.027158242	0.029589145	0.026995093	0.03635759	0.033169065	0.018247284	0.027325533	0.032791644	0.020446977	0.025416281	0.032299567	0.030696336	0.04150035	0.032299567	0.023045186	0.029381378	0.04150035	0.03136972	0.04122145	0.0429888	0.050984573	0.052812908	0.024312802
23	0.06973453	0.03170434	0.0907166	0.06452363	0.05283946	0.053880792	0.047857232	0.0400632	0.07342674	0.04046489	0.04183203	0.07332347	0.047414303	0.09843839	0.06832944	0.08969073	0.066627555	0.07331612	0.06945355	0.049239196	0.088145666	0.054021902	0.051268812	0.091381535	0.031285778	0.05584021	0.057751946	0.06719593	0.06808682	0.025656972	0.094046935	0.062693045	0.03024619	0.051465463	0.049626492	0.08484997	0.061742857	0.049626492	0.063392006	0.047370844	0.061742857	0.064972796	0.06945355	0.07111813	0.08216037	0.06449672	0.053755492
24	0.059176113	0.039317343	0.044569485	0.044702783	0.041218933	0.04608932	0.024181714	0.044686854	0.055901166	0.04632301	0.061163705	0.057182133	0.03697162	0.061892867	0.03099974	0.053741403	0.04155428	0.04847678	0.0530956	0.054344848	0.064899445	0.046824016	0.048929688	0.038913615	0.039241925	0.046490826	0.053202894	0.04839409	0.05337741	0.049064726	0.066926576	0.054214895	0.0405778	0.053590316	0.019106865	0.060220465	0.008301808	0.019106865	0.05954042	0.068365045	0.008301808	0.0588957	0.0530956	0.041043803	0.04335041	0.0385647	0.05819758
32	0.01581573	0.012733651	0.010520965	0.016824866	0.016104188	0.01809492	0.013931447	0.01849716	0.015496092	0.018451724	0.017732633	0.015372265	0.025503226	0.016913325	0.010846887	0.018624643	0.014587004	0.011169353	0.011740407	0.018690338	0.016245354	0.017773023	0.017688407	0.009242227	0.023616724	0.018513551	0.0148923	0.016542599	0.016853731	0.017736576	0.018133998	0.015679684	0.019679483	0.015149083	0.018690756	0.016401798	0.0072894776	0.018690756	0.021542115	0.011895135	0.0072894776	0.015753098	0.011740407	0.015261578	0.010542423	0.013193328	0.014959758
35	0.032413606	0.041381765	0.0436211	0.037683208	0.042821795	0.031367183	0.046245962	0.04279166	0.0363785	0.03680099	0.031072589	0.035875436	0.039081734	0.03250882	0.0481088	0.039645713	0.040621463	0.04400464	0.04068821	0.031805046	0.036843717	0.038496144	0.037003733	0.04565727	0.030695664	0.03877676	0.039827514	0.038193624	0.03669987	0.028564742	0.033774782	0.03366652	0.035582136	0.037687585	0.072025776	0.03682701	0.09262649	0.072025776	0.03222978	0.031592965	0.09262649	0.03387294	0.04068821	0.039776713	0.043862216	0.043699645	0.034794398
