	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
2	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20209543	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20209554	0.2045766	0.20457658	0.20457658	0.20457658	0.20457658	0.033765048	0.20457658	0.20457658	0.20457658	0.033765048	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658	0.20457658
6	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.07639938	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.07639938	0.08713094	0.087130934	0.087130934	0.087130934	0.087130934	0.010264765	0.087130934	0.087130934	0.087130934	0.010264765	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934	0.087130934
7	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.011629062	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.018936843	0.01162906	0.018936854	0.018936843	0.018936843	0.018936843	0.018936843	0.45974955	0.018936843	0.018936843	0.018936843	0.45974955	0.018936843	0.018936843	0.018936843	0.018936852	0.018936852	0.018936852
16	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06181817	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06181816	0.06716371	0.06716374	0.06716374	0.06716374	0.06716374	0.12397976	0.06716374	0.06716374	0.06716374	0.12397976	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374	0.06716374
18	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.06616341	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.05284015	0.0661634	0.052840143	0.05284015	0.05284015	0.05284015	0.05284015	0.030129863	0.05284015	0.05284015	0.05284015	0.030129863	0.05284015	0.05284015	0.05284015	0.05284014	0.05284014	0.05284014
20	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.041881707	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.041881707	0.039512645	0.03951264	0.03951264	0.03951264	0.03951264	0.031926047	0.03951264	0.03951264	0.03951264	0.031926047	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264	0.03951264
23	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.03920615	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.039206132	0.051302508	0.051302504	0.051302504	0.051302504	0.051302504	0.03985312	0.051302504	0.051302504	0.051302504	0.03985312	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504	0.051302504
24	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.027791668	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.031347577	0.02779165	0.03134758	0.031347577	0.031347577	0.031347577	0.031347577	0.0046566227	0.031347577	0.031347577	0.031347577	0.0046566227	0.031347577	0.031347577	0.031347577	0.03134757	0.03134757	0.03134757
32	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.016380727	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.016380724	0.013069074	0.013069073	0.013069073	0.013069073	0.013069073	0.003156019	0.013069073	0.013069073	0.013069073	0.003156019	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073	0.013069073
35	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042614885	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042555727	0.042614885	0.04255572	0.042555727	0.042555727	0.042555727	0.042555727	0.047510177	0.042555727	0.042555727	0.042555727	0.047510177	0.042555727	0.042555727	0.042555727	0.042555716	0.042555716	0.042555716
