	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
2	0.19551395	0.19551395	0.19437297	0.19310756	0.19551395	0.19551395	0.19551395	0.19297718	0.19577841	0.19551395	0.19551395	0.19551395	0.1969856	0.19551395	0.25556377	0.19551395	0.19297718	0.1932887	0.19402796	0.2635154	0.19551395	0.19551395	0.19551395	0.23261333	0.21480574	0.19551395	0.19551395	0.19551395	0.19551395	0.19551395	0.2324652	0.19551395	0.19257931	0.19551395	0.14014381	0.19551395	0.05699854	0.14014381	0.19551395	0.19551426	0.05699854	0.19551395	0.19437301	0.19551395	0.21615618	0.19297718	0.19551395
6	0.08588885	0.08588885	0.08404038	0.07239165	0.08588885	0.08588885	0.08588885	0.08304873	0.08618252	0.08588885	0.08588885	0.08588885	0.086900234	0.08588885	0.14018233	0.08588885	0.08304873	0.08309716	0.08372295	0.20228224	0.08588885	0.08588885	0.08588885	0.12524568	0.10671907	0.08588885	0.08588885	0.08588885	0.08588885	0.08588885	0.12877321	0.08588885	0.08332335	0.08588885	0.12807277	0.08588885	0.013489098	0.12807277	0.08588885	0.08588913	0.013489098	0.08588885	0.0840404	0.08588885	0.04144361	0.08304873	0.08588887
7	0.041015208	0.041015208	0.042114582	0.06307138	0.041015208	0.041015208	0.041015208	0.042823054	0.04085817	0.041015208	0.041015208	0.041015208	0.040745683	0.041015208	0.014809442	0.041015208	0.042823054	0.042635687	0.042323932	0.0119864745	0.041015208	0.041015208	0.041015208	0.02754679	0.03270634	0.041015208	0.041015208	0.041015208	0.041015208	0.041015208	0.02686185	0.0410152	0.042176317	0.041015208	0.027771534	0.041015208	0.5216287	0.027771534	0.041015208	0.04101509	0.5216287	0.041015208	0.04211457	0.041015208	0.19643296	0.042823065	0.04101519
16	0.053382207	0.053382207	0.05367089	0.056519035	0.053382207	0.053382207	0.053382207	0.054746587	0.05334568	0.053382207	0.053382207	0.053382207	0.05274459	0.053382207	0.045361314	0.053382207	0.054746587	0.054019716	0.054033358	0.027543636	0.053382207	0.053382207	0.053382207	0.042989105	0.048307825	0.053382207	0.053382207	0.053382207	0.053382207	0.053382207	0.042127118	0.053382207	0.054245017	0.053382207	0.065472804	0.053382207	0.09269726	0.065472804	0.053382207	0.053382136	0.09269726	0.053382207	0.053670898	0.053382207	0.06597665	0.054746587	0.053382203
18	0.036706507	0.036706507	0.03643557	0.03258757	0.036706507	0.036706507	0.036706507	0.036520977	0.036741268	0.036706507	0.036706507	0.036706507	0.03661033	0.036706507	0.041132405	0.036706507	0.036520977	0.036380097	0.036461115	0.039339494	0.036706507	0.036706507	0.036706507	0.038355626	0.038124315	0.036706507	0.036706507	0.036706507	0.036706507	0.036706507	0.03847884	0.036706515	0.03660157	0.036706507	0.045055993	0.036706507	0.023277162	0.045055993	0.036706507	0.03670653	0.023277162	0.036706507	0.03643557	0.036706507	0.021814454	0.03652098	0.036706515
20	0.037699405	0.037699405	0.037772764	0.03673055	0.037699405	0.037699405	0.037699405	0.037112832	0.037674814	0.037699405	0.037699405	0.037699405	0.037998147	0.037699405	0.02813508	0.037699405	0.037112832	0.03766197	0.037541743	0.04005922	0.037699405	0.037699405	0.037699405	0.03956114	0.038246512	0.037699405	0.037699405	0.037699405	0.037699405	0.037699405	0.039787527	0.037699398	0.037503764	0.037699405	0.014730535	0.037699405	0.023550952	0.014730535	0.037699405	0.03769942	0.023550952	0.037699405	0.03777277	0.037699405	0.028741494	0.037112832	0.037699398
23	0.052691568	0.052691568	0.05269883	0.056220487	0.052691568	0.052691568	0.052691568	0.054566666	0.05273194	0.052691568	0.052691568	0.052691568	0.051824223	0.052691568	0.06777779	0.052691568	0.054566666	0.053061076	0.053361975	0.026198613	0.052691568	0.052691568	0.052691568	0.042059615	0.04842768	0.052691568	0.052691568	0.052691568	0.052691568	0.052691568	0.040875517	0.052691568	0.053409368	0.052691568	0.114962555	0.052691568	0.04187965	0.114962555	0.052691568	0.05269151	0.04187965	0.052691568	0.052698817	0.052691568	0.07875326	0.054566663	0.05269156
24	0.040464476	0.040464476	0.040128466	0.037158344	0.040464476	0.040464476	0.040464476	0.040121682	0.04053391	0.040464476	0.040464476	0.040464476	0.040602732	0.040464476	0.05744964	0.040464476	0.040121682	0.039954487	0.040158864	0.04102745	0.040464476	0.040464476	0.040464476	0.043045264	0.042651124	0.040464476	0.040464476	0.040464476	0.040464476	0.040464476	0.042749178	0.040464483	0.039966587	0.040464476	0.038312104	0.040464476	0.009214922	0.038312104	0.040464476	0.040464543	0.009214922	0.040464476	0.040128466	0.040464476	0.030411683	0.04012168	0.040464487
32	0.008017661	0.008017661	0.008057577	0.007962408	0.008017661	0.008017661	0.008017661	0.0078249145	0.008007595	0.008017661	0.008017661	0.008017661	0.008133041	0.008017661	0.0047621233	0.008017661	0.0078249145	0.008017397	0.007975654	0.0071738516	0.008017661	0.008017661	0.008017661	0.008498469	0.008115759	0.008017661	0.008017661	0.008017661	0.008017661	0.008017661	0.0085086785	0.008017661	0.007944192	0.008017661	0.0024174158	0.008017661	0.0034804156	0.0024174158	0.008017661	0.008017667	0.0034804156	0.008017661	0.0080575785	0.008017661	0.0059285676	0.0078249145	0.008017661
35	0.04126002	0.04126002	0.04153419	0.04194417	0.04126002	0.04126002	0.04126002	0.041724518	0.041196905	0.04126002	0.04126002	0.04126002	0.04100644	0.04126002	0.023764402	0.04126002	0.041724518	0.04175022	0.04157177	0.021999298	0.04126002	0.04126002	0.04126002	0.03305632	0.03697773	0.04126002	0.04126002	0.04126002	0.04126002	0.04126002	0.032936834	0.04126002	0.041852117	0.04126002	0.033331636	0.04126002	0.03016383	0.033331636	0.04126002	0.041259974	0.03016383	0.04126002	0.04153418	0.04126002	0.028597157	0.041724518	0.04126002
