	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
2	0.28609172	0.079862766	0.066860355	0.13104944	0.19419342	0.18891032	0.17189582	0.16486228	0.15664871	0.20534228	0.17861757	0.06214729	0.06238698	0.3044595	0.2964161	0.0016604075	0.0017036492	0.110966116	0.075988226	0.018757392	0.19129343	0.04335859	0.25512317	0.25777674	0.46393633	0.1419076	0.026001146	0.054901905	0.19525574	0.28664017	0.09546837	0.3002423	0.19925775	0.27608	0.14107169	0.10859784	0.05214489	0.1196762	0.15013194	0.17548996	0.048020802	0.116016656	0.40887552	0.39794594	0.19143642	0.4377963	0.08748153
6	0.08191169	0.022044567	0.2289016	0.15043782	0.029939502	0.3553171	0.046366714	0.03555947	0.15015295	0.4891332	0.028137341	0.51712	0.14290422	0.12395963	0.15405858	0.013890852	0.069420144	0.16286808	0.034621418	0.043666538	0.0939661	0.081428304	0.03631938	0.32313117	0.12171929	0.041640643	0.0645451	0.54407436	0.22193056	0.3568732	0.07403785	0.18241912	0.48529288	0.07040129	0.22716005	0.25420412	0.01777637	0.23527595	0.2175096	0.042259153	0.019798523	0.20592244	0.06488205	0.120523505	0.3570815	0.0628134	0.15937626
7	0.108782515	0.010941791	0.010473229	0.02665585	0.5566906	0.018624341	0.011590404	0.23970065	0.009672665	0.023494514	0.01724249	0.017366828	0.0045217075	0.015331386	0.14226073	2.9396835e-05	0.008770559	0.0063020107	0.026348611	0.0042569744	0.03234002	0.009677726	0.47086698	0.0102311885	0.022008631	0.09668904	0.011330535	0.013699064	0.025406389	0.016787933	0.01214575	0.028138034	0.020722687	0.10784175	0.012068127	0.042656776	0.5537134	0.027486091	0.01115256	0.011446732	0.49256948	0.02889452	0.026344249	0.022965994	0.06280201	0.039641112	0.05561294
16	0.049578074	0.027007416	0.04197636	0.059661716	0.041772522	0.013077257	0.034757055	0.1289938	0.09515883	0.013778283	0.082146965	0.021395072	0.031836826	0.02206042	0.04692335	0.0024162277	0.002307856	0.03578357	0.058686554	0.02697654	0.030478306	0.025661035	0.038683217	0.011227877	0.025006944	0.073130056	0.030336415	0.019356415	0.034708366	0.014728488	0.08903873	0.027295766	0.0132418685	0.09428892	0.044022843	0.06636989	0.10894823	0.06885308	0.03308968	0.03557688	0.122593924	0.036124807	0.074369095	0.027083965	0.021069098	0.039542813	0.028552407
18	0.01978242	0.0056559057	0.17209879	0.030982945	0.007752472	0.04427702	0.014855751	0.011904103	0.23505352	0.035605818	0.015221396	0.07666047	0.030842742	0.027462363	0.022054363	0.036053684	0.0011876024	0.056703504	0.025075851	0.012109624	0.01684716	0.008743434	0.008675363	0.04988005	0.02899188	0.011096492	0.007971704	0.06991008	0.036495373	0.04012089	0.033780362	0.034004327	0.036221813	0.030022638	0.08407292	0.04228756	0.0112263225	0.05596817	0.04494694	0.014788027	0.014540822	0.018227952	0.056855813	0.03121362	0.022253886	0.014691631	0.028042613
20	0.043067575	0.010787538	0.010616234	0.013624223	0.026659057	0.04900033	0.014574713	0.014718956	0.026421923	0.01560508	0.008337148	0.00908945	0.010136667	0.06263374	0.03733949	0.0126412865	0.0014459448	0.019275464	0.04867668	0.0031687496	0.022513803	0.0047644796	0.032934625	0.043062314	0.027137354	0.015679665	0.0040253256	0.007226828	0.02311165	0.022300376	0.0042064	0.057152204	0.016895708	0.029126793	0.033731505	0.020855462	0.023095177	0.023208914	0.015363356	0.013921114	0.02642138	0.015063811	0.021469139	0.059860677	0.028275225	0.024270924	0.0527439
23	0.056040175	0.07307396	0.004814772	0.055114657	0.018844357	0.01133783	0.05145496	0.09521064	0.020537108	0.00668176	0.088406235	0.0040970203	0.045538533	0.061353184	0.04269164	0.006317806	0.00303632	0.032189876	0.11042115	0.024224551	0.03100419	0.030330997	0.021178553	0.010196215	0.021262096	0.06739984	0.036511716	0.0039615273	0.02612719	0.009298718	0.045156702	0.045588758	0.00707101	0.057539094	0.029362855	0.04433175	0.04782214	0.06520985	0.022451833	0.04873365	0.05060202	0.06413202	0.033015512	0.05263313	0.016239528	0.06511457	0.01824156
24	0.044789225	0.3725913	0.000557724	0.058854412	0.005801969	0.013930576	0.24687207	0.050857726	0.003183173	0.00844036	0.2354687	0.001145034	0.08443745	0.0540659	0.023616962	0.0018094267	0.005796433	0.05142695	0.044713713	0.0669782	0.14768805	0.21760654	0.007961442	0.011988177	0.034279678	0.14462546	0.1172369	0.0013128613	0.05128605	0.013561546	0.06299277	0.030545346	0.009562268	0.036516387	0.0268629	0.027714992	0.0028716752	0.023947813	0.06128937	0.25441685	0.002884644	0.07084272	0.019084712	0.03111088	0.03434624	0.08400211	0.047201548
32	0.007817714	0.003115433	0.08772494	0.029540762	0.0027525215	0.008859986	0.009149829	0.009799953	0.04129237	0.01605005	0.0142085105	0.043513793	0.022234056	0.0062263096	0.0087351985	0.0020846196	0.0010946327	0.028259268	0.005064389	0.016140934	0.00843981	0.008374808	0.0028444112	0.010227808	0.011505647	0.007569161	0.009051054	0.04616033	0.017673643	0.014612329	0.08026427	0.008518888	0.015356478	0.014023835	0.01787323	0.0153874485	0.0031761075	0.024116589	0.027465045	0.009303548	0.0035169732	0.016509054	0.030930556	0.007438388	0.007332304	0.008142122	0.0041100425
35	0.021059953	0.014612486	0.018435737	0.02569666	0.008855455	0.024366695	0.013620269	0.018288914	0.039845165	0.009424012	0.011197468	0.017269982	0.029830316	0.018120091	0.019842422	0.06344429	0.019258097	0.030522466	0.06702027	0.022937475	0.021697786	0.023049392	0.008921165	0.013983689	0.0074383263	0.025225386	0.027514825	0.015487348	0.025799535	0.009275222	0.012405866	0.021062499	0.010201482	0.023014853	0.053634726	0.06439873	0.031644374	0.04559807	0.023050018	0.01274384	0.04453775	0.02416796	0.009730991	0.013560566	0.025964027	0.0071774307	0.094754025
