	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
2	0.27715084	0.099524856	0.0065459493	0.13717246	0.19428064	0.1820679	0.17721637	0.07874888	0.11817333	0.20893817	0.13807948	0.00810686	0.050757963	0.3264715	0.32173383	0.0036129768	0.005407847	0.109960854	0.06085829	0.018895933	0.18966556	0.041902322	0.24330819	0.26321897	0.49723306	0.06347291	0.026545849	0.009387036	0.19649893	0.25683767	0.07258748	0.29069233	0.19539106	0.24935582	0.10894681	0.22433354	0.031249376	0.08487068	0.13482381	0.1741503	0.029190352	0.14077614	0.34435058	0.35303485	0.22629826	0.42246574	0.054591257
6	0.0052420814	0.008317699	0.23826334	0.10674086	0.008602193	0.3248664	0.036114804	0.0036477726	0.16466394	0.45700902	0.012800598	0.42874387	0.084798075	0.06651397	0.09697109	0.00094296224	0.07833629	0.1377106	0.014081582	0.03516366	0.03653003	0.10595019	0.01148207	0.28158596	0.1213083	0.0072940546	0.07702218	0.44583753	0.19646032	0.35877815	0.036263034	0.17489327	0.45808583	0.026155202	0.16779782	0.13850853	0.007315255	0.20451781	0.2296663	0.020355534	0.007834661	0.1704707	0.012507116	0.1306596	0.30563307	0.037664607	0.12705818
7	0.0947263	0.018024012	0.0011234645	0.005088548	0.52712834	0.0056273784	0.011475516	0.22613493	0.00040473187	0.004422976	0.0056935437	0.0021800408	0.003925304	0.008602227	0.13521597	0.00071770936	0.00020384848	0.0028988374	0.01444262	6.717285e-05	0.030193044	0.0003257924	0.48746938	0.0020243458	0.0071601965	0.030704869	0.0002077461	0.0015351147	0.0051498753	0.0028630116	0.0036232308	0.011301152	0.00361788	0.0468581	0.0015915438	0.001058833	0.4503103	0.004713157	0.002279717	0.010779643	0.40872276	0.009184232	0.007526515	0.0140536	0.022643609	0.029009528	0.051013235
16	0.053437874	0.04232864	0.113753065	0.06329362	0.0663983	0.010384918	0.042684883	0.16851053	0.103201516	0.01628883	0.1232073	0.068735875	0.04114474	0.012215854	0.049290136	0.0020112172	0.00093061774	0.060008913	0.06315891	0.015844796	0.018301379	0.013680889	0.051354792	0.014042572	0.0368992	0.16290174	0.012049384	0.06079683	0.023725577	0.014912352	0.07585601	0.016593702	0.01497251	0.17467777	0.040176686	0.06057804	0.16051187	0.062143307	0.03005651	0.04716739	0.16704577	0.027625294	0.11865698	0.018678129	0.023149962	0.046652358	0.013360252
18	0.009284315	0.02117088	0.10605819	0.030782836	0.017275594	0.026142819	0.024597239	0.019480566	0.2724472	0.06871475	0.04982499	0.11463543	0.061076786	0.018724341	0.012704102	0.0035482917	0.0032959299	0.02532042	0.025290713	0.022677477	0.013309216	0.035993744	0.014994664	0.037251763	0.012287292	0.02979877	0.02212759	0.12265713	0.040596336	0.07096644	0.032074116	0.024486732	0.066845536	0.02273387	0.11974684	0.051771455	0.034638833	0.07499405	0.048991688	0.019868148	0.035496768	0.019672362	0.056948233	0.027472455	0.027980573	0.009673967	0.036842104
20	0.035794828	0.013734885	0.003927731	0.015126928	0.031374585	0.07802569	0.01275112	0.0149052935	0.016264489	0.02914867	0.0062521314	0.004415196	0.014351514	0.06767655	0.037155353	0.023425635	0.0027029922	0.016182011	0.028473733	0.0038605335	0.028983433	0.006601326	0.03382269	0.052433178	0.012573941	0.014744899	0.005023792	0.0044169137	0.030961758	0.034477003	0.0070338543	0.06373917	0.030037338	0.017794287	0.028051224	0.016135074	0.026372243	0.026072836	0.015880276	0.01019786	0.028093185	0.017821448	0.020965463	0.064787656	0.025884075	0.012051657	0.12062379
23	0.062381048	0.10886879	0.0009957431	0.059240717	0.01980479	0.0076309326	0.047459174	0.10159544	0.016640265	0.0075091664	0.08667724	0.00088001014	0.031563997	0.09561837	0.05110557	0.001036077	0.0018425169	0.00464276	0.14756726	0.013832956	0.028196767	0.026073407	0.020114727	0.0064878855	0.010190384	0.07614734	0.035829138	0.00094110874	0.016012544	0.008764384	0.014449845	0.07341413	0.007237371	0.06903953	0.03740757	0.048617586	0.071450986	0.097628765	0.012503505	0.042024914	0.07340414	0.083492	0.010132037	0.08691637	0.021170812	0.080752626	0.013924941
24	0.011536572	0.29418188	0.00010218744	0.06196201	0.0034834242	0.00069185597	0.20637858	0.04981563	0.0035724363	0.0025379364	0.23222815	0.00015764446	0.0673707	0.012454405	0.011234212	0.00034781918	0.0044139656	0.0034080618	0.03572266	0.042458065	0.13152456	0.16862139	0.0041850433	0.00043284072	0.011092825	0.07903178	0.09720781	0.00022179812	0.027884888	0.002713442	0.04402187	0.00877667	0.0021311168	0.014043832	0.027169563	0.032329306	0.003837965	0.012028182	0.042081952	0.216735	0.0040541133	0.07967414	0.0033094778	0.008044342	0.055259787	0.0799589	0.03398616
32	0.021401707	0.0038322199	0.07899266	0.04267016	0.005990626	0.0038912501	0.04321556	0.013826255	0.003812467	0.006978311	0.008866429	0.062711425	0.016434154	0.0013291446	0.00950478	0.00029580633	0.0031968472	0.087992914	0.0015287965	0.004501421	0.012107518	0.0021130142	0.005445192	0.0032433225	0.020406079	0.035923194	0.0017674137	0.08256813	0.015229983	0.0050060237	0.40694934	0.0017547683	0.006648039	0.025014007	0.0016292093	0.0039862064	0.0024692763	0.0015330382	0.020130439	0.050662484	0.0022547941	0.020257043	0.08610628	0.0013416947	0.012280755	0.0072173146	0.0029369025
35	0.0063151345	0.013585696	0.0039439946	0.03483479	0.005894429	0.015974171	0.008324831	0.009871484	0.04429367	0.00901106	0.009959294	0.006033125	0.013840913	0.014067061	0.021458065	0.07638672	0.03389291	0.013328886	0.0626098	0.025128998	0.012125872	0.03557035	0.0055706277	0.011324603	0.012736709	0.013913891	0.037356384	0.0063760728	0.025948763	0.0074987006	0.009098106	0.022629637	0.0075655407	0.018997826	0.063182995	0.07085712	0.029161701	0.045289114	0.017662065	0.0062075104	0.042150714	0.030056182	0.010612792	0.017226128	0.036342848	0.009383313	0.12089206
39	0.035551406	0.023669207	0.001383148	0.019469349	0.008179017	0.051006895	0.038703326	0.0044819345	0.010359946	0.031563852	0.020380601	0.00095193036	0.008120852	0.10320173	0.014419095	0.00039001834	0.0030500384	0.027941296	0.006113626	0.013020407	0.041146	0.02703802	0.011156709	0.069199756	0.04500315	0.013081832	0.016434532	0.0011704772	0.030947352	0.065658666	0.009203557	0.04538985	0.04255384	0.011482858	0.012974692	0.026434822	0.0013131222	0.0087367045	0.040555693	0.04450993	0.0010534199	0.019876204	0.01705502	0.053419776	0.015607399	0.042348374	0.0065453686
45	0.031393565	0.014145543	0.0021234527	0.009622334	0.01232654	0.013100715	0.036901858	0.020538878	0.011218326	0.027537234	0.022462053	0.0025451044	0.06550797	0.028165117	0.019234968	0.00022940846	0.00010795061	0.009499426	0.0069813547	0.0015230108	0.050511632	0.0029331793	0.014822636	0.016277552	0.012008965	0.01363166	0.0013090161	0.0025430422	0.033692684	0.034112714	0.009479291	0.02720892	0.027452037	0.019631179	0.020176023	0.006415464	0.0029441842	0.017276058	0.028266111	0.033078816	0.0024282958	0.01171337	0.03076692	0.033530384	0.016477732	0.018006355	0.0077261124
47	0.016093014	0.014304338	0.0011678907	0.038972348	0.0017033875	0.0088350335	0.031913847	0.0072139315	0.0022571292	0.0047702356	0.0047564628	0.0024144456	0.02152728	0.010896482	0.0093489755	0.03437223	0.096841365	0.013758616	0.010819767	0.010517906	0.025937073	0.009156082	0.0017284596	0.0031746996	0.0037297332	0.015542955	0.010921878	0.0039357366	0.025302865	0.0036402585	0.059716992	0.010557492	0.004573158	0.008053451	0.006451742	0.0072187968	0.0025322067	0.0046885875	0.014380375	0.026297743	0.0029105097	0.051511433	0.012212811	0.006287581	0.01970274	0.004332111	0.033934932
48	0.012231349	0.0020385904	0.015100194	0.009379026	0.0022455733	0.04436377	0.0032815367	0.0051639224	0.023386838	0.010279382	0.00190808	0.013177698	0.020501327	0.009839129	0.0134591	0.11095834	0.00151633	0.04149012	0.017071296	0.0051628863	0.006938977	0.0015469391	0.0020815418	0.04263001	0.008395675	0.0064154067	0.0017851897	0.0114152	0.020341488	0.009765704	0.004453691	0.017618215	0.0106224315	0.017732104	0.018283093	0.011862994	0.0053507853	0.024405789	0.011959545	0.0027260738	0.0065082344	0.0061058034	0.028688665	0.012561615	0.0057540736	0.002042826	0.0123945875
49	0.0101455515	0.02650071	0.00024083637	0.02012806	0.0006672829	0.008350842	0.008744148	0.006936429	0.010970667	0.0021913985	0.008342789	0.00047714316	0.021369744	0.028076662	0.0066850926	0.18432917	0.035705216	0.003954721	0.08109186	0.022652464	0.01108181	0.017210087	0.00062288315	0.0048240707	0.0015692358	0.010247125	0.0293147	0.0006334402	0.01467477	0.0021791854	0.00377657	0.024512248	0.0022036727	0.009112864	0.03132125	0.02600196	0.005218266	0.03345556	0.0074321097	0.006899881	0.006874793	0.026762882	0.005286471	0.016160162	0.006189887	0.0035856096	0.017945569
51	0.019565962	0.028409697	0.0010183308	0.031794313	0.0027296222	0.013435915	0.022064436	0.010060318	0.011919781	0.004782056	0.016242318	0.0010099815	0.018115243	0.02271946	0.01308335	0.038720768	0.01600624	0.023659779	0.03309694	0.035848394	0.027652381	0.02818258	0.0028036307	0.00983173	0.012572646	0.022834856	0.02886584	0.0012113872	0.027140692	0.0056343363	0.013828878	0.019069768	0.0050427183	0.0173056	0.02278875	0.039253745	0.003939864	0.01487701	0.023719335	0.022639733	0.004590671	0.025165198	0.014854003	0.0138411075	0.0142622	0.012170624	0.024050955
54	0.008494738	0.0031934404	0.0010747935	0.015296536	0.00071331306	0.0012865716	0.017845914	0.0049124123	0.0014653275	0.0012708745	0.013070195	0.00038078355	0.009209596	0.004698375	0.009759743	5.6057993e-06	9.646763e-05	0.01719285	0.0027946522	0.0039176084	0.0132975	0.0030496602	0.0010389556	0.001966397	0.0317746	0.011005608	0.002344534	0.0003330027	0.006872229	0.0019945581	0.0074402033	0.0045748153	0.0014374972	0.018961186	0.0024671478	0.008376035	0.00024935202	0.0048611416	0.014891895	0.022034205	0.00023032031	0.011310764	0.0029181123	0.004712177	0.0042662243	0.046997167	0.0003389575
57	0.0011438628	0.00059881917	3.871927e-05	0.00010047036	0.0044431984	0.00014425603	0.00022073626	0.0035416624	2.3487488e-05	0.00010076568	0.00024524084	3.636766e-05	0.00024269662	0.00043714757	0.001491869	2.1417412e-05	5.5439664e-06	5.4716507e-05	0.00072837167	1.0911078e-05	0.0010425876	4.5808072e-05	0.0046029883	7.539332e-05	0.00013523376	0.00071457843	2.4978448e-05	2.0418993e-05	0.00015596955	0.00010078094	1.9704396e-05	0.00042667982	9.6030206e-05	0.0006271895	0.00014429232	4.976658e-05	0.0061490242	0.00036571143	0.0001297521	0.0002077734	0.005471164	0.00018228324	4.7030433e-05	0.00060772523	0.00036571932	0.0008231988	0.0012717103
60	0.024295017	0.028420258	0.0003555541	0.014255084	0.0048203287	0.009173258	0.012221242	0.015215052	0.006133338	0.0034176235	0.011974493	0.00037466077	0.010167921	0.022472026	0.01207674	0.041591868	0.0037578088	0.0067743477	0.037071813	0.010586571	0.01890237	0.009490839	0.004744596	0.0066799563	0.0066309846	0.017049577	0.0103631895	0.00042642947	0.013080229	0.0037845785	0.004577331	0.017145619	0.0033757372	0.01460991	0.0130128525	0.017387608	0.008588846	0.011372708	0.008603454	0.012345656	0.009680595	0.013839984	0.010087287	0.014588088	0.009136055	0.00986099	0.015280366
61	0.018183311	0.011772713	0.0024852115	0.010196623	0.0069016414	0.0072427723	0.023506567	0.015042214	0.008732306	0.012099518	0.015981574	0.0028856127	0.035987817	0.011913368	0.010599244	0.0005063044	0.00029948185	0.008944807	0.006791593	0.0026751042	0.024559092	0.0038674744	0.0074282438	0.0075755855	0.007018328	0.013707084	0.0021617333	0.0031327822	0.019623712	0.013464988	0.011389168	0.011885583	0.011961147	0.013647404	0.013333962	0.006172026	0.0031672968	0.010756651	0.01812523	0.02195947	0.0028632176	0.010007908	0.021551954	0.012797158	0.010776598	0.009359246	0.0075224936
71	0.012982912	0.01196353	0.0003530586	0.007909962	0.003929445	0.004082396	0.014343974	0.007944595	0.0021197072	0.0035919058	0.006488006	0.0005796375	0.0100447945	0.006528085	0.0070117144	0.0059253504	0.002419978	0.005402128	0.005391153	0.003135318	0.022011762	0.0040865843	0.004127892	0.0027757273	0.005604463	0.0077867806	0.0026648035	0.00070754334	0.013130544	0.003365968	0.00658921	0.0057309684	0.0032982097	0.00670862	0.0052112723	0.004841738	0.0019938215	0.0027113347	0.009660127	0.014401469	0.0020042672	0.008368766	0.009860946	0.004832794	0.0107195815	0.005866438	0.010232876
73	0.0019008429	0.00013201301	0.0012607026	0.0041951006	4.485402e-05	0.025455177	0.0010272319	8.6505344e-05	0.0011483162	0.0014770429	6.6476154e-05	0.00091386476	0.0024749436	0.0019993635	0.0017507542	0.17511077	0.013039286	0.06319908	0.000846282	0.0058437614	0.0041324813	0.00081784156	5.703155e-05	0.015857588	0.006824395	0.0005072801	0.0009041014	0.0010397587	0.013071531	0.0016686514	0.0025612423	0.002844432	0.001759598	0.0012614414	0.001555926	0.0032016402	2.140913e-05	0.00073409727	0.008715066	0.0009527695	2.8822578e-05	0.0025576262	0.004588511	0.0011530305	0.0022190674	0.00032555658	0.0049683447
77	0.005816508	0.0030896321	0.0018114565	0.0039306837	0.0020650793	0.0016852391	0.0021139644	0.0054409555	0.0009876402	0.0004483175	0.0015086771	0.0011261137	0.001724524	0.0016329203	0.0019075536	0.008471609	0.001646128	0.0037475296	0.006471588	0.002002786	0.0022052962	0.0011632567	0.0016744364	0.0008687783	0.0007077513	0.011271878	0.0014409495	0.0011225361	0.001576805	0.00047090178	0.0037573667	0.001289151	0.00049033144	0.003354902	0.0012286153	0.0014899372	0.008253589	0.0015581858	0.0013610594	0.002305986	0.009363009	0.0024279205	0.0026950138	0.0010770174	0.001057506	0.0009420629	0.006770026
79	0.02953013	0.002847056	0.0035923873	0.003385638	0.009535499	0.0014484999	0.0074257497	0.02677373	0.0017821863	0.0017055222	0.005742023	0.0021524583	0.00993868	0.0022056347	0.00627086	0.00015801356	2.1662596e-05	0.005662447	0.0027690176	0.0003367896	0.006347913	0.000203809	0.008585772	0.0016635752	0.002622649	0.015513392	0.00014103795	0.0018729611	0.0032894826	0.0017949336	0.007511122	0.0021475393	0.0017063719	0.018262945	0.0014363133	0.0008743128	0.0046084444	0.0024491304	0.003008353	0.008725412	0.00382996	0.0021636332	0.027185956	0.002611017	0.0014667246	0.0039235516	0.000810461
82	0.0012155334	0.0016420294	9.7649245e-06	0.0074325358	6.3253705e-05	0.0053733215	0.0048268647	0.00012021835	5.20733e-05	0.00088309904	0.00022754201	2.0809872e-05	0.0012203384	0.009834766	0.0035973163	0.0010021119	0.16924575	0.002550009	0.0010872094	0.0034442719	0.015557762	0.008821272	0.00011566188	0.0014099021	0.0036001839	0.00046556725	0.009549688	3.0652336e-05	0.008201287	0.0010011384	0.0010469907	0.0078110695	0.00103018	0.00047260922	0.000870722	0.0025127868	2.9187286e-05	0.0007234633	0.0063067223	0.0036198571	3.3380264e-05	0.026155246	7.553784e-05	0.0038388874	0.010938243	0.004023401	0.010869976
83	0.00011673271	0.021886341	6.865941e-05	0.0018563627	3.8946924e-05	4.26172e-05	0.0018160881	0.005029257	0.008014481	0.00012734027	0.031503074	8.3725055e-05	0.047125444	0.0008961426	0.00030302582	0.00027345013	7.881628e-05	7.383439e-05	0.044243187	0.015007854	0.0020150368	0.035794064	3.458881e-05	4.4690667e-05	6.99437e-05	0.0044038114	0.02873713	6.7342946e-05	0.001357832	0.00013432531	0.00011946848	0.0012104732	0.00011095201	0.0009674385	0.055151902	0.007833629	0.0019315798	0.058115076	0.0027465157	0.0013333829	0.002533194	0.0022225312	4.799124e-05	0.0011383204	0.000902665	0.0010148396	0.0023062862
