	MCT.f.0045	MCT.f.0160	MCT.f.0305	MCT.f.0404	MCT.f.0618	MCT.f.0359	MCT.f.0114	MCT.f.0213	MCT.f.0608	MCT.f.0125	MCT.f.0167	MCT.f.0294	MCT.f.0546	MCT.f.0010	MCT.f.0427	MCT.f.0567	MCT.f.0592	MCT.f.0447	MCT.f.0528	MCT.f.0237	MCT.f.0337	MCT.f.0224	MCT.f.0616	MCT.f.0358	MCT.f.0457	MCT.f.0214	MCT.f.0227	MCT.f.0298	MCT.f.0253	MCT.f.0128	MCT.f.0119	MCT.f.0007	MCT.f.0136	MCT.f.0102	MCT.f.0185	MCT.f.0610	MCT.f.0191	MCT.f.0177	MCT.f.0255	MCT.f.0111	MCT.f.0204	MCT.f.0394	MCT.f.0072	MCT.f.0011	MCT.f.0481	MCT.f.0153	MCT.f.0465
2	0.27939862	0.14354701	0.042349327	0.12012412	0.24234009	0.21499598	0.20275342	0.12186666	0.13391481	0.24059784	0.19061197	0.030296028	0.081052445	0.32961723	0.35102665	0.0071410793	0.007011906	0.13483034	0.07617337	0.026711749	0.20873576	0.05126384	0.2886719	0.29656586	0.52942413	0.09924816	0.035433393	0.027712997	0.23400478	0.27744475	0.10701468	0.32327896	0.23503041	0.29194137	0.15999553	0.13010041	0.05916499	0.14051966	0.17434943	0.20332806	0.052699532	0.1294661	0.34365344	0.39363557	0.20752643	0.45089763	0.051206082
6	0.012340561	0.021599326	0.15830354	0.09739869	0.009691097	0.3289501	0.027374713	0.0059908032	0.11419604	0.36368248	0.014915905	0.42997375	0.12023316	0.09424225	0.09594944	0.007889574	0.052972928	0.10603318	0.0215714	0.03594615	0.04311422	0.0907381	0.012577433	0.24549763	0.085895695	0.007602482	0.078376584	0.45904672	0.14262815	0.28592086	0.022161108	0.14356115	0.3631558	0.024498863	0.17570873	0.10363289	0.011699373	0.15818691	0.17477797	0.01880977	0.013146189	0.12314712	0.02109171	0.104354635	0.29283807	0.026442004	0.11742214
7	0.11329784	0.007913534	0.004191829	0.014306177	0.47723734	0.008718361	0.010434824	0.22852707	0.0019676862	0.004098659	0.0039898227	0.008412794	0.005726927	0.01146819	0.11083174	0.00043535195	0.0010070052	0.017499369	0.028992616	0.011964507	0.045510832	0.010339929	0.42179036	0.0029364515	0.0069450927	0.12242367	0.0066086603	0.006643543	0.006748563	0.00301742	0.01873912	0.012320374	0.003994594	0.039586354	0.01344771	0.011874345	0.5094679	0.026264982	0.004028734	0.018196657	0.4769634	0.0065790345	0.0049771015	0.009555957	0.039718922	0.023362977	0.14980681
16	0.048533615	0.036198936	0.17349589	0.042713415	0.050202645	0.011424308	0.042445816	0.13235672	0.10775116	0.014887751	0.09974942	0.083184116	0.06477925	0.014298761	0.029028965	0.001872706	0.0030782446	0.07404671	0.05362636	0.018880919	0.012882576	0.020997414	0.040357586	0.009575039	0.029782165	0.081920974	0.018953513	0.07334117	0.02575898	0.013124936	0.083256565	0.019036695	0.013524952	0.15374978	0.04048225	0.04317226	0.13118781	0.066983685	0.028786508	0.045590803	0.13694304	0.031502515	0.09979917	0.021424532	0.017857304	0.03508645	0.023131505
18	0.011098282	0.009320498	0.22794297	0.033850666	0.016191462	0.034559745	0.015726699	0.008291527	0.28625163	0.055938527	0.023845479	0.12943426	0.07235663	0.020328699	0.011514243	0.013923924	0.013168063	0.04112528	0.025123019	0.006522209	0.008615495	0.012446114	0.01592701	0.039127745	0.019998357	0.010349206	0.010753734	0.10288973	0.047311332	0.050505776	0.017053744	0.029566932	0.049666703	0.041716278	0.070468776	0.037861247	0.025558477	0.06438028	0.051052876	0.011791718	0.03045716	0.037299924	0.06601315	0.034029823	0.017524727	0.0059043514	0.029318674
20	0.020554973	0.0181854	0.023564434	0.010198628	0.029381929	0.06454954	0.013157092	0.0150541235	0.026555825	0.020042071	0.01637631	0.017036568	0.025291985	0.050433815	0.017547477	0.03916838	0.008132124	0.01492687	0.021245778	0.005378534	0.014464959	0.01322177	0.031479806	0.0651442	0.015043922	0.029503878	0.009012673	0.011218504	0.033291113	0.02044196	0.0055454187	0.044606715	0.021801881	0.03193248	0.019821465	0.031871032	0.021012224	0.016009355	0.026348043	0.012540002	0.02370458	0.011424104	0.024265908	0.052923672	0.024445493	0.009106113	0.08857531
23	0.06060578	0.110221125	0.0033632235	0.085214555	0.025997577	0.007013346	0.073445015	0.12211709	0.028821561	0.0142879095	0.1442579	0.0037089936	0.06720868	0.049282372	0.05570802	0.003149009	0.005884493	0.0108887395	0.12830977	0.0449724	0.041896105	0.051587187	0.026745148	0.008551491	0.014579672	0.07269294	0.05196301	0.0035471753	0.04880958	0.014809943	0.035317823	0.044485398	0.013319844	0.06655664	0.06907453	0.051261857	0.05735794	0.12510093	0.046326537	0.06865332	0.060660332	0.08095361	0.02396259	0.049421374	0.024841458	0.0812512	0.016696194
24	0.040040687	0.24739625	0.0008086869	0.058271334	0.0070138806	0.012328749	0.18537861	0.058418207	0.004067385	0.011674088	0.18155226	0.0014450703	0.073868655	0.050475772	0.022190413	0.003837708	0.015736988	0.009992065	0.044475716	0.057731625	0.103250526	0.13954236	0.008261248	0.011352735	0.012237803	0.106554985	0.09169226	0.0017055548	0.04689985	0.013993044	0.048538122	0.033724513	0.0132476	0.02112766	0.029457565	0.033939082	0.0068290685	0.02013443	0.062645555	0.18342213	0.0066002603	0.07187934	0.01151928	0.034575075	0.051282775	0.06978557	0.04012569
32	0.015544359	0.0032133095	0.05262781	0.023197208	0.00389527	0.001710813	0.025459515	0.0094611915	0.008944216	0.0047851363	0.0072579803	0.038320538	0.006753826	0.0010933649	0.004543298	8.126738e-06	0.0019009449	0.03444475	0.0015620354	0.0027480933	0.006184912	0.0037367132	0.0032782436	0.00060373003	0.00820308	0.00394435	0.0037950368	0.07052297	0.0045709824	0.0038384073	0.22622003	0.0022139275	0.0040658023	0.013492173	0.0017158441	0.0043119346	0.002866685	0.0015873676	0.00348248	0.02678654	0.0024058614	0.01965175	0.048126973	0.0013659978	0.0070437305	0.0031205374	0.0012927172
35	0.010223995	0.01942265	0.013479857	0.029306179	0.0074587003	0.02351324	0.009979856	0.009806098	0.019927712	0.011545438	0.0075493716	0.020621037	0.037165906	0.019303218	0.023897475	0.08370658	0.05140303	0.02029255	0.058984306	0.054563154	0.019195925	0.053458564	0.008593249	0.011934127	0.006497756	0.020502878	0.04715277	0.01732629	0.026974598	0.009363456	0.007990745	0.0251217	0.011614147	0.0147369495	0.036528453	0.061801374	0.02118046	0.03404055	0.022728225	0.008541564	0.02689315	0.023736108	0.0047065276	0.016630726	0.034676865	0.005746291	0.11737634
